Korpus,Family,query_id,kueri,B,GPL,exp4.1,Δ(GPL-B)
ID,multilingual-e5-base,14,apa makna kekosongan,0.9111,0.0,0.4275,-0.9111
ID,gte-multilingual-base,7,penjelasan tentang perhatian murni,0.8849,0.354,0.4316,-0.5309
ID,gte-multilingual-base,11,siapa yang layak disebut sebagai brahmana,0.7458,0.2826,0.8304,-0.4632
ID,gte-multilingual-base,26,bersatu di kehidupan selanjutnya,0.5678,0.149,0.3817,-0.4188
ID,multilingual-e5-base,20,penggambaran terhadap keagungan buddha,0.6492,0.2704,0.141,-0.3788
ID,multilingual-e5-base,26,bersatu di kehidupan selanjutnya,0.3752,0.0,0.497,-0.3752
ID,gte-multilingual-base,10,kriteria kesucian,0.5336,0.2178,0.1105,-0.3158
ID,gte-multilingual-base,14,apa makna kekosongan,0.7428,0.4275,0.6349,-0.3153
ID,multilingual-e5-base,5,perumpamaan perumpamaan,0.9076,0.5949,0.4695,-0.3127
ID,multilingual-e5-base,1,cara mengatasi kemarahan,0.7797,0.4803,0.8073,-0.2994
ID,gte-multilingual-base,15,apa kualitas yang harus dimiliki oleh seorang penceramah,0.8651,0.5725,0.519,-0.2926
ID,multilingual-e5-base,24,apa yang terjadi pada saat pencapaian pencerahan,0.4155,0.1246,0.3532,-0.2909
ID,multilingual-e5-base,11,siapa yang layak disebut sebagai brahmana,0.5466,0.2896,0.6725,-0.257
ID,gte-multilingual-base,20,penggambaran terhadap keagungan buddha,0.4847,0.2473,0.1993,-0.2374
ID,multilingual-e5-base,13,berbagai jenis pemberian,0.9026,0.6774,0.8869,-0.2252
ID,multilingual-e5-base,25,perasaan malu dan takut,0.8412,0.618,0.6795,-0.2232
ID,gte-multilingual-base,2,cara mengatasi ngantuk,0.214,0.0,0.0565,-0.214
ID,multilingual-e5-base,23,penjelasan tentang pandangan terang,0.8158,0.6273,0.5759,-0.1885
ID,gte-multilingual-base,13,berbagai jenis pemberian,1.0,0.8152,0.8869,-0.1848
ID,multilingual-e5-base,10,kriteria kesucian,0.2801,0.1018,0.2286,-0.1783
ID,multilingual-e5-base,28,berbagai jenis perbuatan baik,0.8638,0.6956,0.9026,-0.1682
ID,multilingual-e5-base,8,manfaat pelaksaan sila,0.5982,0.4444,0.467,-0.1538
ID,multilingual-e5-base,9,jenis jenis kotoran batin,0.5535,0.4173,0.3651,-0.1362
ID,gte-multilingual-base,4,mengapa harus membalas budi orangtua,0.8869,0.7557,0.6018,-0.1312
ID,gte-multilingual-base,5,perumpamaan perumpamaan,1.0,0.8721,0.8869,-0.1279
ID,multilingual-e5-base,30,apa itu proliferasi mental,0.9073,0.8132,0.8668,-0.0941
ID,gte-multilingual-base,28,berbagai jenis perbuatan baik,0.8638,0.7739,0.8087,-0.0899
ID,multilingual-e5-base,19,jenis jenis kemelekatan,0.9563,0.8688,1.0,-0.0875
ID,multilingual-e5-base,12,kewajiban seorang bhikkhu,0.8272,0.741,0.6701,-0.0862
ID,gte-multilingual-base,27,jenis jenis karma buruk,0.4918,0.4187,0.5759,-0.0731
ID,multilingual-e5-base,4,mengapa harus membalas budi orangtua,0.9026,0.8688,0.7537,-0.0338
ID,gte-multilingual-base,30,apa itu proliferasi mental,0.9377,0.9128,0.9751,-0.0249
ID,gte-multilingual-base,12,kewajiban seorang bhikkhu,0.9073,0.8895,0.961,-0.0178
ID,multilingual-e5-base,18,penyebab gempa bumi,1.0,1.0,1.0,0.0
ID,multilingual-e5-base,6,apa itu kemurahan hati,0.6038,0.6284,0.5699,0.0246
ID,gte-multilingual-base,25,perasaan malu dan takut,0.7182,0.7591,0.6716,0.0409
ID,gte-multilingual-base,18,penyebab gempa bumi,0.9563,1.0,1.0,0.0437
ID,gte-multilingual-base,19,jenis jenis kemelekatan,0.9563,1.0,0.9563,0.0437
ID,multilingual-e5-base,7,penjelasan tentang perhatian murni,0.3948,0.4464,0.4385,0.0516
ID,gte-multilingual-base,24,apa yang terjadi pada saat pencapaian pencerahan,0.4459,0.5059,0.3673,0.06
ID,gte-multilingual-base,17,kewajiban seorang umat awam,0.6015,0.6771,0.5749,0.0756
ID,multilingual-e5-base,17,kewajiban seorang umat awam,0.7261,0.8058,0.6413,0.0797
ID,multilingual-e5-base,22,cara mengikis kotoran batin,0.5751,0.664,0.7365,0.0889
ID,gte-multilingual-base,1,cara mengatasi kemarahan,0.5664,0.6667,0.6229,0.1003
ID,gte-multilingual-base,16,harta yang paling bernilai,0.7945,0.9026,0.9026,0.1081
ID,multilingual-e5-base,27,jenis jenis karma buruk,0.3673,0.4849,0.5082,0.1176
ID,multilingual-e5-base,21,jenis jenis manusia,0.6667,0.8304,0.6667,0.1637
ID,multilingual-e5-base,15,apa kualitas yang harus dimiliki oleh seorang penceramah,0.5725,0.7454,0.4275,0.1729
ID,gte-multilingual-base,23,penjelasan tentang pandangan terang,0.3743,0.5517,0.4067,0.1774
ID,gte-multilingual-base,22,cara mengikis kotoran batin,0.7365,0.9275,0.7719,0.191
ID,gte-multilingual-base,6,apa itu kemurahan hati,0.4608,0.6547,0.5864,0.1939
ID,gte-multilingual-base,9,jenis jenis kotoran batin,0.3086,0.5585,0.5071,0.2499
ID,multilingual-e5-base,3,apa penyebab penderitaan,0.44,0.6972,0.8154,0.2572
ID,gte-multilingual-base,8,manfaat pelaksaan sila,0.149,0.4522,0.2999,0.3032
ID,multilingual-e5-base,2,cara mengatasi ngantuk,0.6893,1.0,0.6406,0.3107
ID,gte-multilingual-base,21,jenis jenis manusia,0.6406,0.9563,1.0,0.3157
ID,multilingual-e5-base,29,jenis orang yang tak boleh ditahbiskan,0.5296,0.8688,0.7227,0.3392
ID,multilingual-e5-base,16,harta yang paling bernilai,0.5615,0.9125,0.8573,0.351
ID,gte-multilingual-base,3,apa penyebab penderitaan,0.44,0.8154,0.7865,0.3754
ID,gte-multilingual-base,29,jenis orang yang tak boleh ditahbiskan,0.1696,1.0,1.0,0.8304
