Korpus,Family,query_id,kueri,B,GPL,exp2,Δ(exp2-B)
ID,multilingual-e5-base,14,apa makna kekosongan,0.9611,0.0,0.1229,-0.8382
ID,gte-multilingual-base,7,penjelasan tentang perhatian murni,0.9425,0.3822,0.3045,-0.638
ID,gte-multilingual-base,14,apa makna kekosongan,0.8136,0.6755,0.2677,-0.5459
ID,multilingual-e5-base,11,siapa yang layak disebut sebagai brahmana,0.7094,0.1448,0.2168,-0.4926
ID,gte-multilingual-base,12,kewajiban seorang bhikkhu,0.9321,0.8568,0.4421,-0.49
ID,multilingual-e5-base,24,apa yang terjadi pada saat pencapaian pencerahan,0.7219,0.3495,0.234,-0.4879
ID,gte-multilingual-base,11,siapa yang layak disebut sebagai brahmana,0.8164,0.2261,0.3865,-0.4299
ID,multilingual-e5-base,9,jenis jenis kotoran batin,0.5724,0.5181,0.1847,-0.3877
ID,gte-multilingual-base,15,apa kualitas yang harus dimiliki oleh seorang penceramah,0.9409,0.758,0.5552,-0.3857
ID,multilingual-e5-base,23,penjelasan tentang pandangan terang,0.882,0.6885,0.5049,-0.3771
ID,gte-multilingual-base,24,apa yang terjadi pada saat pencapaian pencerahan,0.6479,0.6902,0.2773,-0.3706
ID,multilingual-e5-base,20,penggambaran terhadap keagungan buddha,0.6206,0.3719,0.2795,-0.3411
ID,gte-multilingual-base,16,harta yang paling bernilai,0.8973,0.9026,0.5586,-0.3387
ID,multilingual-e5-base,16,harta yang paling bernilai,0.7564,0.9563,0.4253,-0.3311
ID,gte-multilingual-base,17,kewajiban seorang umat awam,0.6335,0.7336,0.3116,-0.3219
ID,multilingual-e5-base,1,cara mengatasi kemarahan,0.8333,0.4535,0.5639,-0.2694
ID,gte-multilingual-base,5,perumpamaan perumpamaan,1.0,0.9361,0.733,-0.267
ID,multilingual-e5-base,27,jenis jenis karma buruk,0.6743,0.342,0.4588,-0.2155
ID,multilingual-e5-base,17,kewajiban seorang umat awam,0.8478,0.7951,0.6449,-0.2029
ID,gte-multilingual-base,26,bersatu di kehidupan selanjutnya,0.7741,0.5245,0.5826,-0.1915
ID,multilingual-e5-base,15,apa kualitas yang harus dimiliki oleh seorang penceramah,0.7809,0.8249,0.5964,-0.1845
ID,multilingual-e5-base,28,berbagai jenis perbuatan baik,0.9319,0.763,0.7652,-0.1667
ID,multilingual-e5-base,5,perumpamaan perumpamaan,0.9538,0.6588,0.7896,-0.1642
ID,multilingual-e5-base,12,kewajiban seorang bhikkhu,0.8083,0.7456,0.6805,-0.1278
ID,gte-multilingual-base,20,penggambaran terhadap keagungan buddha,0.2839,0.1899,0.1575,-0.1264
ID,gte-multilingual-base,19,jenis jenis kemelekatan,0.9781,1.0,0.8688,-0.1093
ID,gte-multilingual-base,4,mengapa harus membalas budi orangtua,0.8587,0.7557,0.7557,-0.103
ID,gte-multilingual-base,28,berbagai jenis perbuatan baik,0.8663,0.8869,0.7652,-0.1011
ID,gte-multilingual-base,30,apa itu proliferasi mental,0.9704,0.9585,0.8737,-0.0967
ID,multilingual-e5-base,19,jenis jenis kemelekatan,0.9781,0.8907,0.8907,-0.0874
ID,gte-multilingual-base,27,jenis jenis karma buruk,0.6732,0.4647,0.6066,-0.0666
ID,gte-multilingual-base,10,kriteria kesucian,0.2616,0.1857,0.2101,-0.0515
ID,multilingual-e5-base,30,apa itu proliferasi mental,0.9559,0.9111,0.933,-0.0229
ID,multilingual-e5-base,4,mengapa harus membalas budi orangtua,0.8783,0.8907,0.8589,-0.0194
ID,gte-multilingual-base,13,berbagai jenis pemberian,0.9321,0.8475,0.9262,-0.0059
ID,gte-multilingual-base,25,perasaan malu dan takut,0.8591,0.8795,0.8577,-0.0014
ID,multilingual-e5-base,18,penyebab gempa bumi,1.0,1.0,1.0,0.0
ID,gte-multilingual-base,6,apa itu kemurahan hati,0.4538,0.6925,0.4538,0.0
ID,multilingual-e5-base,25,perasaan malu dan takut,0.9206,0.7846,0.9255,0.0049
ID,multilingual-e5-base,13,berbagai jenis pemberian,0.8737,0.7119,0.8797,0.006
ID,multilingual-e5-base,29,jenis orang yang tak boleh ditahbiskan,0.4076,0.2419,0.4201,0.0125
ID,gte-multilingual-base,18,penyebab gempa bumi,0.9781,1.0,1.0,0.0219
ID,multilingual-e5-base,21,jenis jenis manusia,0.8333,0.8304,0.856,0.0227
ID,gte-multilingual-base,22,cara mengikis kotoran batin,0.7807,0.8199,0.8528,0.0721
ID,multilingual-e5-base,22,cara mengikis kotoran batin,0.6321,0.6381,0.739,0.1069
ID,multilingual-e5-base,8,manfaat pelaksaan sila,0.5343,0.4702,0.6495,0.1152
ID,multilingual-e5-base,7,penjelasan tentang perhatian murni,0.3552,0.4609,0.4776,0.1224
ID,multilingual-e5-base,6,apa itu kemurahan hati,0.5535,0.6242,0.6826,0.1291
ID,multilingual-e5-base,3,apa penyebab penderitaan,0.7104,0.8333,0.8407,0.1303
ID,gte-multilingual-base,29,jenis orang yang tak boleh ditahbiskan,0.1417,0.315,0.2784,0.1367
ID,multilingual-e5-base,10,kriteria kesucian,0.2162,0.1288,0.374,0.1578
ID,gte-multilingual-base,9,jenis jenis kotoran batin,0.4642,0.6917,0.6352,0.171
ID,gte-multilingual-base,3,apa penyebab penderitaan,0.7104,0.8899,0.8899,0.1795
ID,gte-multilingual-base,23,penjelasan tentang pandangan terang,0.3411,0.6798,0.5384,0.1973
ID,gte-multilingual-base,8,manfaat pelaksaan sila,0.1514,0.4522,0.3748,0.2234
ID,gte-multilingual-base,21,jenis jenis manusia,0.7473,0.9781,1.0,0.2527
ID,multilingual-e5-base,2,cara mengatasi ngantuk,0.6893,1.0,1.0,0.3107
ID,gte-multilingual-base,1,cara mengatasi kemarahan,0.5982,0.691,0.9125,0.3143
ID,gte-multilingual-base,2,cara mengatasi ngantuk,0.214,0.0,0.5296,0.3156
ID,multilingual-e5-base,26,bersatu di kehidupan selanjutnya,0.2244,0.3917,0.732,0.5076
