Korpus,Family,query_id,kueri,B,GPL,exp5.4.1,Δ(exp5.4.1-B)
ID,gte-multilingual-base,15,apa kualitas yang harus dimiliki oleh seorang penceramah,0.9409,0.758,0.2004,-0.7405
ID,gte-multilingual-base,7,penjelasan tentang perhatian murni,0.9425,0.3822,0.2702,-0.6723
ID,multilingual-e5-base,20,penggambaran terhadap keagungan buddha,0.6356,0.3809,0.0977,-0.5379
ID,multilingual-e5-base,24,apa yang terjadi pada saat pencapaian pencerahan,0.7219,0.3495,0.2747,-0.4472
ID,multilingual-e5-base,15,apa kualitas yang harus dimiliki oleh seorang penceramah,0.7809,0.8249,0.4212,-0.3597
ID,multilingual-e5-base,27,jenis jenis karma buruk,0.7105,0.3603,0.3673,-0.3432
ID,gte-multilingual-base,27,jenis jenis karma buruk,0.7094,0.4896,0.3673,-0.3421
ID,gte-multilingual-base,26,bersatu di kehidupan selanjutnya,0.7741,0.5245,0.4494,-0.3247
ID,multilingual-e5-base,29,jenis orang yang tak boleh ditahbiskan,0.4076,0.2419,0.1433,-0.2643
ID,gte-multilingual-base,2,cara mengatasi ngantuk,0.214,0.0,0.0,-0.214
ID,gte-multilingual-base,14,apa makna kekosongan,0.8136,0.6755,0.6373,-0.1763
ID,multilingual-e5-base,5,perumpamaan perumpamaan,0.9538,0.6588,0.7869,-0.1669
ID,gte-multilingual-base,13,berbagai jenis pemberian,1.0,0.9091,0.8345,-0.1655
ID,gte-multilingual-base,24,apa yang terjadi pada saat pencapaian pencerahan,0.6479,0.6902,0.4896,-0.1583
ID,multilingual-e5-base,14,apa makna kekosongan,0.9611,0.0,0.8127,-0.1484
ID,multilingual-e5-base,1,cara mengatasi kemarahan,0.8333,0.4535,0.7059,-0.1274
ID,multilingual-e5-base,13,berbagai jenis pemberian,0.9373,0.7637,0.8345,-0.1028
ID,gte-multilingual-base,25,perasaan malu dan takut,0.8591,0.8795,0.7589,-0.1002
ID,gte-multilingual-base,20,penggambaran terhadap keagungan buddha,0.2908,0.1945,0.1945,-0.0963
ID,gte-multilingual-base,5,perumpamaan perumpamaan,1.0,0.9361,0.94,-0.06
ID,gte-multilingual-base,16,harta yang paling bernilai,0.8973,0.9026,0.8383,-0.059
ID,multilingual-e5-base,21,jenis jenis manusia,0.8333,0.8304,0.7869,-0.0464
ID,gte-multilingual-base,29,jenis orang yang tak boleh ditahbiskan,0.1417,0.315,0.1003,-0.0414
ID,multilingual-e5-base,25,perasaan malu dan takut,0.9206,0.7846,0.8795,-0.0411
ID,multilingual-e5-base,8,manfaat pelaksaan sila,0.5343,0.4702,0.498,-0.0363
ID,multilingual-e5-base,23,penjelasan tentang pandangan terang,0.882,0.6885,0.8656,-0.0164
ID,gte-multilingual-base,6,apa itu kemurahan hati,0.4538,0.6925,0.4538,0.0
ID,multilingual-e5-base,18,penyebab gempa bumi,1.0,1.0,1.0,0.0
ID,multilingual-e5-base,4,mengapa harus membalas budi orangtua,0.8783,0.8907,0.8907,0.0124
ID,multilingual-e5-base,19,jenis jenis kemelekatan,0.9781,0.8907,1.0,0.0219
ID,gte-multilingual-base,18,penyebab gempa bumi,0.9781,1.0,1.0,0.0219
ID,gte-multilingual-base,19,jenis jenis kemelekatan,0.9781,1.0,1.0,0.0219
ID,gte-multilingual-base,30,apa itu proliferasi mental,0.9704,0.9585,1.0,0.0296
ID,gte-multilingual-base,4,mengapa harus membalas budi orangtua,0.8587,0.7557,0.8907,0.032
ID,gte-multilingual-base,12,kewajiban seorang bhikkhu,0.9559,0.8787,0.9959,0.04
ID,gte-multilingual-base,11,siapa yang layak disebut sebagai brahmana,0.8164,0.2261,0.8587,0.0423
ID,multilingual-e5-base,30,apa itu proliferasi mental,0.9559,0.9111,1.0,0.0441
ID,multilingual-e5-base,28,berbagai jenis perbuatan baik,0.9319,0.763,0.9781,0.0462
ID,gte-multilingual-base,10,kriteria kesucian,0.2616,0.1857,0.3106,0.049
ID,multilingual-e5-base,17,kewajiban seorang umat awam,0.8478,0.7951,0.9309,0.0831
ID,gte-multilingual-base,22,cara mengikis kotoran batin,0.7807,0.8199,0.8646,0.0839
ID,multilingual-e5-base,12,kewajiban seorang bhikkhu,0.8289,0.7646,0.9245,0.0956
ID,multilingual-e5-base,26,bersatu di kehidupan selanjutnya,0.2244,0.3917,0.333,0.1086
ID,gte-multilingual-base,28,berbagai jenis perbuatan baik,0.8663,0.8869,0.9781,0.1118
ID,multilingual-e5-base,9,jenis jenis kotoran batin,0.5423,0.4908,0.6631,0.1208
ID,multilingual-e5-base,16,harta yang paling bernilai,0.7564,0.9563,0.8869,0.1305
ID,multilingual-e5-base,6,apa itu kemurahan hati,0.5535,0.6242,0.7024,0.1489
ID,gte-multilingual-base,1,cara mengatasi kemarahan,0.5982,0.691,0.7473,0.1491
ID,multilingual-e5-base,2,cara mengatasi ngantuk,0.6893,1.0,0.8688,0.1795
ID,multilingual-e5-base,3,apa penyebab penderitaan,0.7263,0.852,0.9098,0.1835
ID,gte-multilingual-base,21,jenis jenis manusia,0.7473,0.9781,0.9435,0.1962
ID,multilingual-e5-base,7,penjelasan tentang perhatian murni,0.3552,0.4609,0.553,0.1978
ID,gte-multilingual-base,3,apa penyebab penderitaan,0.7263,0.9098,0.9321,0.2058
ID,gte-multilingual-base,9,jenis jenis kotoran batin,0.4398,0.6553,0.6826,0.2428
ID,gte-multilingual-base,17,kewajiban seorang umat awam,0.6335,0.7336,0.8794,0.2459
ID,multilingual-e5-base,22,cara mengikis kotoran batin,0.6321,0.6381,0.9008,0.2687
ID,multilingual-e5-base,10,kriteria kesucian,0.2162,0.1288,0.4869,0.2707
ID,multilingual-e5-base,11,siapa yang layak disebut sebagai brahmana,0.7094,0.1448,1.0,0.2906
ID,gte-multilingual-base,23,penjelasan tentang pandangan terang,0.3411,0.6798,0.8338,0.4927
ID,gte-multilingual-base,8,manfaat pelaksaan sila,0.1514,0.4522,0.6617,0.5103
