Korpus,Family,query_id,kueri,B,GPL,exp4.2,Δ(GPL-B)
ID,multilingual-e5-base,14,apa makna kekosongan,0.9611,0.0,0.761,-0.9611
ID,gte-multilingual-base,11,siapa yang layak disebut sebagai brahmana,0.8164,0.2261,0.9344,-0.5903
ID,multilingual-e5-base,11,siapa yang layak disebut sebagai brahmana,0.7094,0.1448,0.2884,-0.5646
ID,gte-multilingual-base,7,penjelasan tentang perhatian murni,0.9425,0.3822,0.2861,-0.5603
ID,multilingual-e5-base,1,cara mengatasi kemarahan,0.8333,0.4535,0.7921,-0.3798
ID,multilingual-e5-base,24,apa yang terjadi pada saat pencapaian pencerahan,0.7219,0.3495,0.5327,-0.3724
ID,multilingual-e5-base,27,jenis jenis karma buruk,0.7105,0.3603,0.7001,-0.3502
ID,multilingual-e5-base,5,perumpamaan perumpamaan,0.9538,0.6588,0.3392,-0.295
ID,multilingual-e5-base,20,penggambaran terhadap keagungan buddha,0.6022,0.3609,0.5101,-0.2413
ID,gte-multilingual-base,26,bersatu di kehidupan selanjutnya,0.7118,0.4823,0.5357,-0.2295
ID,gte-multilingual-base,27,jenis jenis karma buruk,0.7094,0.4896,0.5769,-0.2198
ID,gte-multilingual-base,2,cara mengatasi ngantuk,0.214,0.0,0.7446,-0.214
ID,multilingual-e5-base,23,penjelasan tentang pandangan terang,0.882,0.6885,0.6798,-0.1935
ID,gte-multilingual-base,15,apa kualitas yang harus dimiliki oleh seorang penceramah,0.9409,0.758,0.6199,-0.1829
ID,multilingual-e5-base,13,berbagai jenis pemberian,0.9373,0.7637,0.9437,-0.1736
ID,multilingual-e5-base,28,berbagai jenis perbuatan baik,0.9319,0.763,0.9191,-0.1689
ID,multilingual-e5-base,29,jenis orang yang tak boleh ditahbiskan,0.4076,0.2419,0.2961,-0.1657
ID,gte-multilingual-base,14,apa makna kekosongan,0.8136,0.6755,0.7575,-0.1381
ID,multilingual-e5-base,25,perasaan malu dan takut,0.9206,0.7846,0.8795,-0.136
ID,gte-multilingual-base,4,mengapa harus membalas budi orangtua,0.8587,0.7557,0.7665,-0.103
ID,gte-multilingual-base,20,penggambaran terhadap keagungan buddha,0.2755,0.1843,0.0925,-0.0912
ID,gte-multilingual-base,13,berbagai jenis pemberian,1.0,0.9091,0.9373,-0.0909
ID,multilingual-e5-base,19,jenis jenis kemelekatan,0.9781,0.8907,0.9781,-0.0874
ID,multilingual-e5-base,10,kriteria kesucian,0.2162,0.1288,0.3887,-0.0874
ID,gte-multilingual-base,12,kewajiban seorang bhikkhu,0.9559,0.8787,0.9263,-0.0772
ID,gte-multilingual-base,10,kriteria kesucian,0.2616,0.1857,0.3054,-0.0759
ID,multilingual-e5-base,12,kewajiban seorang bhikkhu,0.8289,0.7646,0.7857,-0.0643
ID,multilingual-e5-base,8,manfaat pelaksaan sila,0.5343,0.4702,0.4761,-0.0641
