Korpus,Family,query_id,kueri,B,GPL,exp5.4,Δ(exp5.4-B)
ID,gte-multilingual-base,7,penjelasan tentang perhatian murni,0.9425,0.3822,0.2839,-0.6586
ID,multilingual-e5-base,20,penggambaran terhadap keagungan buddha,0.6206,0.3719,0.1663,-0.4543
ID,gte-multilingual-base,26,bersatu di kehidupan selanjutnya,0.7741,0.5245,0.4494,-0.3247
ID,multilingual-e5-base,27,jenis jenis karma buruk,0.7105,0.3603,0.4618,-0.2487
ID,gte-multilingual-base,27,jenis jenis karma buruk,0.7094,0.4896,0.4618,-0.2476
ID,gte-multilingual-base,15,apa kualitas yang harus dimiliki oleh seorang penceramah,0.9409,0.758,0.7056,-0.2353
ID,multilingual-e5-base,14,apa makna kekosongan,0.9611,0.0,0.7738,-0.1873
ID,multilingual-e5-base,24,apa yang terjadi pada saat pencapaian pencerahan,0.7219,0.3495,0.6064,-0.1155
ID,multilingual-e5-base,25,perasaan malu dan takut,0.9206,0.7846,0.8115,-0.1091
ID,multilingual-e5-base,1,cara mengatasi kemarahan,0.8333,0.4535,0.7292,-0.1041
ID,multilingual-e5-base,5,perumpamaan perumpamaan,0.9538,0.6588,0.851,-0.1028
ID,gte-multilingual-base,25,perasaan malu dan takut,0.8591,0.8795,0.7589,-0.1002
ID,multilingual-e5-base,13,berbagai jenis pemberian,0.9044,0.7369,0.8052,-0.0992
ID,gte-multilingual-base,13,berbagai jenis pemberian,0.9649,0.8772,0.8867,-0.0782
ID,gte-multilingual-base,24,apa yang terjadi pada saat pencapaian pencerahan,0.6479,0.6902,0.572,-0.0759
ID,gte-multilingual-base,16,harta yang paling bernilai,0.8973,0.9026,0.8331,-0.0642
ID,gte-multilingual-base,5,perumpamaan perumpamaan,1.0,0.9361,0.9361,-0.0639
ID,multilingual-e5-base,21,jenis jenis manusia,0.8333,0.8304,0.7766,-0.0567
ID,multilingual-e5-base,29,jenis orang yang tak boleh ditahbiskan,0.3932,0.2334,0.3494,-0.0438
ID,multilingual-e5-base,17,kewajiban seorang umat awam,0.8478,0.7951,0.8199,-0.0279
ID,multilingual-e5-base,23,penjelasan tentang pandangan terang,0.882,0.6885,0.8656,-0.0164
ID,gte-multilingual-base,14,apa makna kekosongan,0.8136,0.6755,0.8044,-0.0092
ID,gte-multilingual-base,22,cara mengikis kotoran batin,0.8003,0.8405,0.7983,-0.002
ID,multilingual-e5-base,18,penyebab gempa bumi,1.0,1.0,1.0,0.0
ID,multilingual-e5-base,8,manfaat pelaksaan sila,0.5343,0.4702,0.5417,0.0074
ID,multilingual-e5-base,30,apa itu proliferasi mental,0.9559,0.9111,0.9704,0.0145
ID,gte-multilingual-base,20,penggambaran terhadap keagungan buddha,0.2839,0.1899,0.3009,0.017
ID,multilingual-e5-base,19,jenis jenis kemelekatan,0.9781,0.8907,1.0,0.0219
ID,gte-multilingual-base,19,jenis jenis kemelekatan,0.9781,1.0,1.0,0.0219
ID,gte-multilingual-base,18,penyebab gempa bumi,0.9781,1.0,1.0,0.0219
ID,gte-multilingual-base,6,apa itu kemurahan hati,0.4538,0.6925,0.4831,0.0293
ID,gte-multilingual-base,30,apa itu proliferasi mental,0.9704,0.9585,1.0,0.0296
ID,multilingual-e5-base,15,apa kualitas yang harus dimiliki oleh seorang penceramah,0.7809,0.8249,0.8199,0.039
ID,gte-multilingual-base,12,kewajiban seorang bhikkhu,0.9559,0.8787,0.9959,0.04
ID,multilingual-e5-base,28,berbagai jenis perbuatan baik,0.9319,0.763,0.9781,0.0462
ID,multilingual-e5-base,4,mengapa harus membalas budi orangtua,0.8783,0.8907,0.9513,0.073
ID,gte-multilingual-base,11,siapa yang layak disebut sebagai brahmana,0.8164,0.2261,0.8933,0.0769
ID,gte-multilingual-base,28,berbagai jenis perbuatan baik,0.8663,0.8869,0.9563,0.09
ID,multilingual-e5-base,16,harta yang paling bernilai,0.7564,0.9563,0.8626,0.1062
