Korpus,Family,query_id,kueri,B,GPL,exp2,Δ(exp2-B)
ID,multilingual-e5-base,14,apa makna kekosongan,0.9111,0.0,0.0,-0.9111
ID,gte-multilingual-base,11,siapa yang layak disebut sebagai brahmana,0.7458,0.2826,0.1131,-0.6327
ID,gte-multilingual-base,26,bersatu di kehidupan selanjutnya,0.6135,0.161,0.0,-0.6135
ID,multilingual-e5-base,1,cara mengatasi kemarahan,0.7797,0.4803,0.1877,-0.592
ID,gte-multilingual-base,7,penjelasan tentang perhatian murni,0.8849,0.354,0.3899,-0.495
ID,multilingual-e5-base,23,penjelasan tentang pandangan terang,0.8158,0.6273,0.3975,-0.4183
ID,multilingual-e5-base,26,bersatu di kehidupan selanjutnya,0.4054,0.0,0.0,-0.4054
ID,gte-multilingual-base,15,apa kualitas yang harus dimiliki oleh seorang penceramah,0.8651,0.5725,0.4629,-0.4022
ID,multilingual-e5-base,20,penggambaran terhadap keagungan buddha,0.6492,0.2704,0.2473,-0.4019
ID,gte-multilingual-base,14,apa makna kekosongan,0.7428,0.4275,0.4275,-0.3153
ID,gte-multilingual-base,4,mengapa harus membalas budi orangtua,0.8869,0.7557,0.5801,-0.3068
ID,gte-multilingual-base,5,perumpamaan perumpamaan,1.0,0.8721,0.7006,-0.2994
ID,gte-multilingual-base,13,berbagai jenis pemberian,1.0,0.8152,0.7409,-0.2591
ID,multilingual-e5-base,28,berbagai jenis perbuatan baik,0.8638,0.6956,0.6081,-0.2557
ID,gte-multilingual-base,10,kriteria kesucian,0.5336,0.2178,0.2801,-0.2535
ID,gte-multilingual-base,28,berbagai jenis perbuatan baik,0.8638,0.7739,0.6171,-0.2467
ID,multilingual-e5-base,25,perasaan malu dan takut,0.8412,0.618,0.6052,-0.236
ID,multilingual-e5-base,24,apa yang terjadi pada saat pencapaian pencerahan,0.4155,0.1246,0.1868,-0.2287
ID,gte-multilingual-base,2,cara mengatasi ngantuk,0.214,0.0,0.0,-0.214
ID,multilingual-e5-base,11,siapa yang layak disebut sebagai brahmana,0.5466,0.2896,0.3333,-0.2133
ID,multilingual-e5-base,4,mengapa harus membalas budi orangtua,0.9026,0.8688,0.6985,-0.2041
ID,gte-multilingual-base,20,penggambaran terhadap keagungan buddha,0.4847,0.2473,0.2854,-0.1993
ID,multilingual-e5-base,10,kriteria kesucian,0.2801,0.1018,0.1018,-0.1783
ID,gte-multilingual-base,12,kewajiban seorang bhikkhu,0.9073,0.8895,0.741,-0.1663
ID,gte-multilingual-base,25,perasaan malu dan takut,0.7182,0.7591,0.5586,-0.1596
ID,multilingual-e5-base,5,perumpamaan perumpamaan,0.9076,0.5949,0.7586,-0.149
ID,multilingual-e5-base,30,apa itu proliferasi mental,0.9073,0.8132,0.7968,-0.1105
ID,gte-multilingual-base,16,harta yang paling bernilai,0.7945,0.9026,0.6864,-0.1081
ID,multilingual-e5-base,19,jenis jenis kemelekatan,0.9563,0.8688,0.8688,-0.0875
ID,multilingual-e5-base,12,kewajiban seorang bhikkhu,0.8272,0.741,0.741,-0.0862
ID,gte-multilingual-base,30,apa itu proliferasi mental,0.9377,0.9128,0.8613,-0.0764
ID,multilingual-e5-base,17,kewajiban seorang umat awam,0.7261,0.8058,0.6587,-0.0674
ID,multilingual-e5-base,13,berbagai jenis pemberian,0.9026,0.6774,0.8383,-0.0643
ID,multilingual-e5-base,9,jenis jenis kotoran batin,0.5535,0.4173,0.5337,-0.0198
ID,gte-multilingual-base,24,apa yang terjadi pada saat pencapaian pencerahan,0.4459,0.5059,0.4382,-0.0077
ID,multilingual-e5-base,18,penyebab gempa bumi,1.0,1.0,1.0,0.0
ID,gte-multilingual-base,19,jenis jenis kemelekatan,0.9563,1.0,0.9563,0.0
ID,gte-multilingual-base,18,penyebab gempa bumi,0.9563,1.0,1.0,0.0437
ID,multilingual-e5-base,7,penjelasan tentang perhatian murni,0.3948,0.4464,0.4464,0.0516
