Korpus,Family,query_id,kueri,B,GPL,exp5.4.2,Δ(exp5.4.2-B)
ID,gte-multilingual-base,7,penjelasan tentang perhatian murni,0.9425,0.3822,0.1413,-0.8012
ID,gte-multilingual-base,15,apa kualitas yang harus dimiliki oleh seorang penceramah,0.9409,0.758,0.2841,-0.6568
ID,multilingual-e5-base,23,penjelasan tentang pandangan terang,0.882,0.6885,0.4488,-0.4332
ID,multilingual-e5-base,15,apa kualitas yang harus dimiliki oleh seorang penceramah,0.7809,0.8249,0.365,-0.4159
ID,multilingual-e5-base,27,jenis jenis karma buruk,0.7105,0.3603,0.3673,-0.3432
ID,gte-multilingual-base,27,jenis jenis karma buruk,0.7094,0.4896,0.3673,-0.3421
ID,multilingual-e5-base,14,apa makna kekosongan,0.924,0.0,0.6512,-0.2728
ID,multilingual-e5-base,29,jenis orang yang tak boleh ditahbiskan,0.4076,0.2419,0.1417,-0.2659
ID,multilingual-e5-base,5,perumpamaan perumpamaan,0.9538,0.6588,0.6945,-0.2593
ID,multilingual-e5-base,24,apa yang terjadi pada saat pencapaian pencerahan,0.7219,0.3495,0.4719,-0.25
ID,gte-multilingual-base,14,apa makna kekosongan,0.7823,0.6494,0.5859,-0.1964
ID,multilingual-e5-base,11,siapa yang layak disebut sebagai brahmana,0.7094,0.1448,0.5315,-0.1779
ID,multilingual-e5-base,13,berbagai jenis pemberian,0.9044,0.7369,0.8052,-0.0992
ID,gte-multilingual-base,20,penggambaran terhadap keagungan buddha,0.2908,0.1945,0.1945,-0.0963
ID,multilingual-e5-base,20,penggambaran terhadap keagungan buddha,0.6356,0.3809,0.5395,-0.0961
ID,gte-multilingual-base,13,berbagai jenis pemberian,0.9649,0.8772,0.8867,-0.0782
ID,gte-multilingual-base,24,apa yang terjadi pada saat pencapaian pencerahan,0.6479,0.6902,0.5854,-0.0625
ID,multilingual-e5-base,1,cara mengatasi kemarahan,0.8333,0.4535,0.7729,-0.0604
ID,gte-multilingual-base,16,harta yang paling bernilai,0.8973,0.9026,0.8589,-0.0384
ID,multilingual-e5-base,22,cara mengikis kotoran batin,0.6321,0.6381,0.6221,-0.01
ID,gte-multilingual-base,26,bersatu di kehidupan selanjutnya,0.7741,0.5245,0.7707,-0.0034
ID,multilingual-e5-base,21,jenis jenis manusia,0.8333,0.8304,0.8317,-0.0016
ID,gte-multilingual-base,6,apa itu kemurahan hati,0.4538,0.6925,0.4538,0.0
ID,multilingual-e5-base,18,penyebab gempa bumi,1.0,1.0,1.0,0.0
ID,gte-multilingual-base,5,perumpamaan perumpamaan,1.0,0.9361,1.0,0.0
ID,gte-multilingual-base,30,apa itu proliferasi mental,0.9704,0.9585,0.9771,0.0067
ID,multilingual-e5-base,25,perasaan malu dan takut,0.9206,0.7846,0.9361,0.0155
ID,multilingual-e5-base,19,jenis jenis kemelekatan,0.9781,0.8907,1.0,0.0219
ID,gte-multilingual-base,18,penyebab gempa bumi,0.9781,1.0,1.0,0.0219
ID,gte-multilingual-base,19,jenis jenis kemelekatan,0.9781,1.0,1.0,0.0219
ID,gte-multilingual-base,25,perasaan malu dan takut,0.8591,0.8795,0.8909,0.0318
ID,gte-multilingual-base,12,kewajiban seorang bhikkhu,0.9559,0.8787,0.9959,0.04
ID,multilingual-e5-base,30,apa itu proliferasi mental,0.9559,0.9111,1.0,0.0441
ID,gte-multilingual-base,11,siapa yang layak disebut sebagai brahmana,0.8164,0.2261,0.8651,0.0487
ID,gte-multilingual-base,22,cara mengikis kotoran batin,0.7807,0.8199,0.8306,0.0499
ID,multilingual-e5-base,28,berbagai jenis perbuatan baik,0.9319,0.763,1.0,0.0681
ID,multilingual-e5-base,4,mengapa harus membalas budi orangtua,0.8783,0.8907,0.9513,0.073
ID,multilingual-e5-base,17,kewajiban seorang umat awam,0.8478,0.7951,0.9267,0.0789
ID,multilingual-e5-base,8,manfaat pelaksaan sila,0.5343,0.4702,0.6148,0.0805
ID,multilingual-e5-base,26,bersatu di kehidupan selanjutnya,0.2244,0.3917,0.3061,0.0817
ID,multilingual-e5-base,16,harta yang paling bernilai,0.7564,0.9563,0.8869,0.1305
ID,gte-multilingual-base,28,berbagai jenis perbuatan baik,0.8663,0.8869,1.0,0.1337
ID,gte-multilingual-base,4,mengapa harus membalas budi orangtua,0.8587,0.7557,1.0,0.1413
ID,multilingual-e5-base,6,apa itu kemurahan hati,0.5535,0.6242,0.7024,0.1489
ID,multilingual-e5-base,12,kewajiban seorang bhikkhu,0.8289,0.7646,1.0,0.1711
ID,gte-multilingual-base,10,kriteria kesucian,0.2616,0.1857,0.4515,0.1899
ID,gte-multilingual-base,21,jenis jenis manusia,0.7473,0.9781,0.9435,0.1962
ID,multilingual-e5-base,7,penjelasan tentang perhatian murni,0.3552,0.4609,0.553,0.1978
ID,gte-multilingual-base,3,apa penyebab penderitaan,0.7263,0.9098,0.9321,0.2058
ID,multilingual-e5-base,3,apa penyebab penderitaan,0.7263,0.852,0.9321,0.2058
ID,gte-multilingual-base,9,jenis jenis kotoran batin,0.4288,0.639,0.6378,0.209
ID,gte-multilingual-base,1,cara mengatasi kemarahan,0.5982,0.691,0.8139,0.2157
ID,multilingual-e5-base,9,jenis jenis kotoran batin,0.5288,0.4786,0.7849,0.2561
ID,gte-multilingual-base,17,kewajiban seorang umat awam,0.6335,0.7336,0.9267,0.2932
ID,multilingual-e5-base,2,cara mengatasi ngantuk,0.6893,1.0,1.0,0.3107
ID,gte-multilingual-base,8,manfaat pelaksaan sila,0.1514,0.4522,0.5547,0.4033
