Korpus,Family,query_id,kueri,B,GPL,exp2,Δ(exp2-B)
ID,multilingual-e5-base,1,cara mengatasi kemarahan,0.7255,0.1539,-0.6708,-1.3963
ID,gte-multilingual-base,30,apa itu proliferasi mental,0.866,0.2887,-0.2887,-1.1547
ID,gte-multilingual-base,23,penjelasan tentang pandangan terang,0.1081,-0.9177,-0.9177,-1.0258
ID,gte-multilingual-base,28,berbagai jenis perbuatan baik,0.8944,-0.7071,0.1581,-0.7363
ID,multilingual-e5-base,6,apa itu kemurahan hati,0.527,-0.1026,-0.2052,-0.7322
ID,multilingual-e5-base,20,penggambaran terhadap keagungan buddha,0.3162,-0.2887,-0.2887,-0.6049
ID,multilingual-e5-base,25,perasaan malu dan takut,0.4472,0.3536,-0.1054,-0.5526
ID,multilingual-e5-base,8,manfaat pelaksaan sila,0.1622,0.527,-0.3354,-0.4976
ID,multilingual-e5-base,17,kewajiban seorang umat awam,0.3536,0.0527,-0.1054,-0.459
ID,multilingual-e5-base,28,berbagai jenis perbuatan baik,0.8944,-0.1581,0.4472,-0.4472
ID,multilingual-e5-base,23,penjelasan tentang pandangan terang,0.6708,-0.2294,0.2294,-0.4414
ID,gte-multilingual-base,20,penggambaran terhadap keagungan buddha,0.3689,0.1118,-0.0527,-0.4216
ID,multilingual-e5-base,22,cara mengikis kotoran batin,-0.2887,0.866,-0.6708,-0.3821
ID,gte-multilingual-base,16,harta yang paling bernilai,0.2887,0.3536,0.0,-0.2887
ID,gte-multilingual-base,9,jenis jenis kotoran batin,0.0,0.0513,-0.2236,-0.2236
ID,gte-multilingual-base,22,cara mengikis kotoran batin,0.866,0.4472,0.6708,-0.1952
ID,multilingual-e5-base,13,berbagai jenis pemberian,0.3536,0.6156,0.2236,-0.13
ID,multilingual-e5-base,5,perumpamaan perumpamaan,0.866,0.9487,0.7906,-0.0754
ID,gte-multilingual-base,6,apa itu kemurahan hati,0.7071,0.8944,0.6708,-0.0363
ID,gte-multilingual-base,10,kriteria kesucian,-0.6156,-0.7906,-0.6325,-0.0169
ID,multilingual-e5-base,30,apa itu proliferasi mental,0.0,0.3536,0.0,0.0
ID,multilingual-e5-base,19,jenis jenis kemelekatan,0.7071,0.7071,0.7071,0.0
ID,gte-multilingual-base,19,jenis jenis kemelekatan,0.7071,,0.7071,0.0
ID,gte-multilingual-base,3,apa penyebab penderitaan,-0.7071,0.7071,-0.7071,0.0
ID,multilingual-e5-base,15,apa kualitas yang harus dimiliki oleh seorang penceramah,0.7071,0.4617,0.7182,0.0111
ID,multilingual-e5-base,12,kewajiban seorang bhikkhu,0.7906,0.5774,0.866,0.0754
ID,multilingual-e5-base,10,kriteria kesucian,-0.3689,-0.866,-0.2887,0.0802
ID,gte-multilingual-base,11,siapa yang layak disebut sebagai brahmana,0.6325,0.4472,0.7255,0.093
ID,gte-multilingual-base,15,apa kualitas yang harus dimiliki oleh seorang penceramah,0.527,0.7255,0.6708,0.1438
ID,gte-multilingual-base,7,penjelasan tentang perhatian murni,0.2887,0.9487,0.4472,0.1585
ID,gte-multilingual-base,25,perasaan malu dan takut,-0.2635,-0.866,0.0,0.2635
ID,gte-multilingual-base,24,apa yang terjadi pada saat pencapaian pencerahan,0.3627,0.7379,0.6708,0.3081
ID,multilingual-e5-base,9,jenis jenis kotoran batin,0.0,-0.2052,0.527,0.527
ID,multilingual-e5-base,4,mengapa harus membalas budi orangtua,0.3536,0.3536,0.8944,0.5408
ID,multilingual-e5-base,7,penjelasan tentang perhatian murni,0.1054,0.7071,0.7071,0.6017
ID,multilingual-e5-base,3,apa penyebab penderitaan,-0.7071,,0.0,0.7071
ID,gte-multilingual-base,4,mengapa harus membalas budi orangtua,0.0,0.4472,0.7906,0.7906
ID,gte-multilingual-base,12,kewajiban seorang bhikkhu,0.0,0.9487,0.866,0.866
ID,gte-multilingual-base,17,kewajiban seorang umat awam,-0.2236,0.3078,0.6669,0.8905
ID,gte-multilingual-base,27,jenis jenis karma buruk,0.0,0.0513,0.9487,0.9487
ID,multilingual-e5-base,16,harta yang paling bernilai,-0.2108,0.7071,0.7826,0.9934
ID,multilingual-e5-base,24,apa yang terjadi pada saat pencapaian pencerahan,-0.7255,0.7071,0.5774,1.3029
ID,gte-multilingual-base,8,manfaat pelaksaan sila,-0.866,0.6882,0.7906,1.6566
