Korpus,Family,query_id,kueri,B,GPL,exp2,Δ(exp2-B)
ID,gte-multilingual-base,14,apa makna kekosongan,0.7071,0.7454,-0.4472,-1.1543
ID,multilingual-e5-base,17,kewajiban seorang umat awam,0.3536,-0.3536,-0.7071,-1.0607
ID,gte-multilingual-base,2,cara mengatasi ngantuk,0.3627,,-0.5774,-0.9401
ID,multilingual-e5-base,20,penggambaran terhadap keagungan buddha,0.3162,-0.3162,-0.4104,-0.7266
ID,gte-multilingual-base,11,siapa yang layak disebut sebagai brahmana,0.0,0.0,-0.6156,-0.6156
ID,gte-multilingual-base,24,apa yang terjadi pada saat pencapaian pencerahan,0.2868,-0.3536,-0.2236,-0.5104
ID,gte-multilingual-base,27,jenis jenis karma buruk,0.4472,0.5774,0.0,-0.4472
ID,gte-multilingual-base,28,berbagai jenis perbuatan baik,0.7071,,0.3536,-0.3535
ID,multilingual-e5-base,12,kewajiban seorang bhikkhu,0.0,-0.3536,-0.2887,-0.2887
ID,gte-multilingual-base,20,penggambaran terhadap keagungan buddha,0.0,-0.7826,-0.25,-0.25
ID,multilingual-e5-base,9,jenis jenis kotoran batin,-0.4588,0.4617,-0.7071,-0.2483
ID,gte-multilingual-base,22,cara mengikis kotoran batin,0.866,0.8944,0.6325,-0.2335
ID,gte-multilingual-base,13,berbagai jenis pemberian,0.866,0.6325,0.6325,-0.2335
ID,multilingual-e5-base,29,jenis orang yang tak boleh ditahbiskan,0.1118,,0.0,-0.1118
ID,multilingual-e5-base,23,penjelasan tentang pandangan terang,0.5774,-0.7255,0.4743,-0.1031
ID,gte-multilingual-base,6,apa itu kemurahan hati,0.7071,0.866,0.7071,0.0
ID,multilingual-e5-base,27,jenis jenis karma buruk,0.7255,0.3536,0.7255,0.0
ID,multilingual-e5-base,13,berbagai jenis pemberian,0.866,0.5774,0.866,0.0
ID,multilingual-e5-base,11,siapa yang layak disebut sebagai brahmana,-0.1481,,0.0,0.1481
ID,multilingual-e5-base,16,harta yang paling bernilai,0.3536,,0.6489,0.2953
ID,multilingual-e5-base,15,apa kualitas yang harus dimiliki oleh seorang penceramah,0.0,0.0,0.2962,0.2962
ID,gte-multilingual-base,1,cara mengatasi kemarahan,0.0,-0.3536,0.3536,0.3536
ID,gte-multilingual-base,17,kewajiban seorang umat awam,-0.7071,0.2236,-0.3354,0.3717
ID,multilingual-e5-base,4,mengapa harus membalas budi orangtua,0.3536,0.3536,0.7826,0.429
ID,multilingual-e5-base,1,cara mengatasi kemarahan,-0.7255,0.2236,-0.2887,0.4368
ID,multilingual-e5-base,22,cara mengikis kotoran batin,0.0,0.3536,0.4472,0.4472
ID,gte-multilingual-base,23,penjelasan tentang pandangan terang,-0.6489,-0.8885,-0.1579,0.491
ID,gte-multilingual-base,9,jenis jenis kotoran batin,0.3947,0.1581,0.9487,0.554
ID,multilingual-e5-base,6,apa itu kemurahan hati,0.2236,0.2887,0.866,0.6424
ID,gte-multilingual-base,4,mengapa harus membalas budi orangtua,0.0,0.4472,0.6708,0.6708
ID,multilingual-e5-base,8,manfaat pelaksaan sila,0.0,0.4104,0.7906,0.7906
ID,multilingual-e5-base,7,penjelasan tentang perhatian murni,-0.2887,0.0513,0.6708,0.9595
ID,gte-multilingual-base,8,manfaat pelaksaan sila,-0.3354,0.6882,0.7071,1.0425
ID,multilingual-e5-base,10,kriteria kesucian,-0.3536,-0.3536,0.7379,1.0915
ID,gte-multilingual-base,26,bersatu di kehidupan selanjutnya,-0.7071,0.7255,0.9733,1.6804
