Korpus,Family,query_id,kueri,B,GPL,exp3,Δ(exp3-B)
ID,gte-multilingual-base,7,penjelasan tentang perhatian murni,0.8849,0.354,0.0713,-0.8136
ID,gte-multilingual-base,20,penggambaran terhadap keagungan buddha,0.4847,0.2473,0.0572,-0.4275
ID,multilingual-e5-base,1,cara mengatasi kemarahan,0.7797,0.4803,0.3712,-0.4085
ID,gte-multilingual-base,10,kriteria kesucian,0.5336,0.2178,0.1268,-0.4068
ID,multilingual-e5-base,14,apa makna kekosongan,0.9111,0.0,0.5064,-0.4047
ID,gte-multilingual-base,15,apa kualitas yang harus dimiliki oleh seorang penceramah,0.8651,0.5725,0.4836,-0.3815
ID,multilingual-e5-base,29,jenis orang yang tak boleh ditahbiskan,0.5296,0.8688,0.1696,-0.36
ID,gte-multilingual-base,26,bersatu di kehidupan selanjutnya,0.5061,0.1328,0.2167,-0.2894
ID,gte-multilingual-base,11,siapa yang layak disebut sebagai brahmana,0.7458,0.2826,0.4818,-0.264
ID,multilingual-e5-base,2,cara mengatasi ngantuk,0.6893,1.0,0.4273,-0.262
ID,multilingual-e5-base,11,siapa yang layak disebut sebagai brahmana,0.5466,0.2896,0.3122,-0.2344
ID,multilingual-e5-base,21,jenis jenis manusia,0.6667,0.8304,0.4365,-0.2302
ID,gte-multilingual-base,5,perumpamaan perumpamaan,1.0,0.8721,0.8383,-0.1617
ID,multilingual-e5-base,12,kewajiban seorang bhikkhu,0.8272,0.741,0.6799,-0.1473
ID,gte-multilingual-base,4,mengapa harus membalas budi orangtua,0.8869,0.7557,0.7409,-0.146
ID,multilingual-e5-base,9,jenis jenis kotoran batin,0.5535,0.4173,0.4198,-0.1337
ID,multilingual-e5-base,4,mengapa harus membalas budi orangtua,0.9026,0.8688,0.7714,-0.1312
ID,multilingual-e5-base,25,perasaan malu dan takut,0.8412,0.618,0.7154,-0.1258
ID,gte-multilingual-base,12,kewajiban seorang bhikkhu,0.9073,0.8895,0.7882,-0.1191
ID,multilingual-e5-base,20,penggambaran terhadap keagungan buddha,0.6492,0.2704,0.5477,-0.1015
ID,gte-multilingual-base,16,harta yang paling bernilai,0.7945,0.9026,0.7026,-0.0919
ID,multilingual-e5-base,7,penjelasan tentang perhatian murni,0.3948,0.4464,0.3136,-0.0812
ID,gte-multilingual-base,30,apa itu proliferasi mental,0.9377,0.9128,0.8591,-0.0786
ID,multilingual-e5-base,8,manfaat pelaksaan sila,0.5982,0.4444,0.5418,-0.0564
ID,multilingual-e5-base,5,perumpamaan perumpamaan,0.9076,0.5949,0.8638,-0.0438
ID,gte-multilingual-base,13,berbagai jenis pemberian,1.0,0.8152,0.9563,-0.0437
ID,multilingual-e5-base,23,penjelasan tentang pandangan terang,0.8158,0.6273,0.7741,-0.0417
ID,multilingual-e5-base,10,kriteria kesucian,0.2801,0.1018,0.2568,-0.0233
ID,gte-multilingual-base,17,kewajiban seorang umat awam,0.6015,0.6771,0.5817,-0.0198
ID,gte-multilingual-base,1,cara mengatasi kemarahan,0.5664,0.6667,0.5536,-0.0128
ID,gte-multilingual-base,25,perasaan malu dan takut,0.7182,0.7591,0.7104,-0.0078
ID,gte-multilingual-base,6,apa itu kemurahan hati,0.4608,0.6547,0.4608,0.0
ID,multilingual-e5-base,28,berbagai jenis perbuatan baik,0.8638,0.6956,0.8638,0.0
ID,multilingual-e5-base,30,apa itu proliferasi mental,0.9073,0.8132,0.9073,0.0
ID,multilingual-e5-base,19,jenis jenis kemelekatan,0.9563,0.8688,0.9563,0.0
ID,multilingual-e5-base,18,penyebab gempa bumi,1.0,1.0,1.0,0.0
ID,multilingual-e5-base,6,apa itu kemurahan hati,0.6038,0.6284,0.6345,0.0307
ID,gte-multilingual-base,19,jenis jenis kemelekatan,0.9563,1.0,1.0,0.0437
ID,gte-multilingual-base,18,penyebab gempa bumi,0.9563,1.0,1.0,0.0437
ID,multilingual-e5-base,22,cara mengikis kotoran batin,0.5751,0.664,0.6205,0.0454
ID,gte-multilingual-base,28,berbagai jenis perbuatan baik,0.8638,0.7739,0.9125,0.0487
ID,gte-multilingual-base,22,cara mengikis kotoran batin,0.7365,0.9275,0.79,0.0535
ID,gte-multilingual-base,24,apa yang terjadi pada saat pencapaian pencerahan,0.4459,0.5059,0.5027,0.0568
ID,multilingual-e5-base,16,harta yang paling bernilai,0.5615,0.9125,0.6312,0.0697
ID,gte-multilingual-base,27,jenis jenis karma buruk,0.5167,0.4399,0.6084,0.0917
ID,multilingual-e5-base,13,berbagai jenis pemberian,0.9026,0.6774,1.0,0.0974
ID,multilingual-e5-base,15,apa kualitas yang harus dimiliki oleh seorang penceramah,0.5725,0.7454,0.6847,0.1122
ID,gte-multilingual-base,14,apa makna kekosongan,0.7428,0.4275,0.8614,0.1186
ID,multilingual-e5-base,17,kewajiban seorang umat awam,0.7261,0.8058,0.8498,0.1237
ID,multilingual-e5-base,24,apa yang terjadi pada saat pencapaian pencerahan,0.4155,0.1246,0.6164,0.2009
ID,gte-multilingual-base,9,jenis jenis kotoran batin,0.3086,0.5585,0.5222,0.2136
ID,gte-multilingual-base,21,jenis jenis manusia,0.6406,0.9563,0.8869,0.2463
ID,gte-multilingual-base,8,manfaat pelaksaan sila,0.149,0.4522,0.4105,0.2615
ID,gte-multilingual-base,3,apa penyebab penderitaan,0.4208,0.7797,0.736,0.3152
ID,multilingual-e5-base,26,bersatu di kehidupan selanjutnya,0.3345,0.0,0.6505,0.316
ID,multilingual-e5-base,27,jenis jenis karma buruk,0.3859,0.5095,0.7302,0.3443
ID,gte-multilingual-base,29,jenis orang yang tak boleh ditahbiskan,0.1696,1.0,0.5296,0.36
ID,gte-multilingual-base,23,penjelasan tentang pandangan terang,0.3743,0.5517,0.7586,0.3843
ID,multilingual-e5-base,3,apa penyebab penderitaan,0.4208,0.6667,0.8849,0.4641
ID,gte-multilingual-base,2,cara mengatasi ngantuk,0.214,0.0,0.7227,0.5087
