Korpus,Family,query_id,kueri,B,GPL,exp5.2,Δ(exp5.2-B)
ID,multilingual-e5-base,23,penjelasan tentang pandangan terang,0.6708,-0.2294,-0.866,-1.5368
ID,gte-multilingual-base,14,apa makna kekosongan,0.7071,,-0.7454,-1.4525
ID,gte-multilingual-base,20,penggambaran terhadap keagungan buddha,0.3689,0.1118,-1.0,-1.3689
ID,gte-multilingual-base,21,jenis jenis manusia,0.4472,0.7071,-0.7071,-1.1543
ID,gte-multilingual-base,11,siapa yang layak disebut sebagai brahmana,0.6325,0.4472,-0.3354,-0.9679
ID,multilingual-e5-base,26,bersatu di kehidupan selanjutnya,0.3536,,-0.5774,-0.931
ID,multilingual-e5-base,17,kewajiban seorang umat awam,0.3536,0.0527,-0.3536,-0.7072
ID,gte-multilingual-base,22,cara mengikis kotoran batin,0.866,0.4472,0.2236,-0.6424
ID,gte-multilingual-base,1,cara mengatasi kemarahan,0.5774,,0.0,-0.5774
ID,gte-multilingual-base,23,penjelasan tentang pandangan terang,0.1081,-0.9177,-0.4472,-0.5553
ID,multilingual-e5-base,15,apa kualitas yang harus dimiliki oleh seorang penceramah,0.7071,0.4617,0.2887,-0.4184
ID,gte-multilingual-base,15,apa kualitas yang harus dimiliki oleh seorang penceramah,0.527,0.7255,0.3536,-0.1734
ID,gte-multilingual-base,30,apa itu proliferasi mental,0.866,0.2887,0.7071,-0.1589
ID,multilingual-e5-base,1,cara mengatasi kemarahan,0.7255,0.1539,0.6708,-0.0547
ID,multilingual-e5-base,20,penggambaran terhadap keagungan buddha,0.3162,-0.2887,0.2887,-0.0275
ID,multilingual-e5-base,16,harta yang paling bernilai,-0.2108,0.7071,-0.2236,-0.0128
ID,multilingual-e5-base,4,mengapa harus membalas budi orangtua,0.3536,0.3536,0.3536,0.0
ID,multilingual-e5-base,11,siapa yang layak disebut sebagai brahmana,0.2895,0.7071,0.3536,0.0641
ID,gte-multilingual-base,6,apa itu kemurahan hati,0.7071,0.8944,0.7826,0.0755
ID,multilingual-e5-base,12,kewajiban seorang bhikkhu,0.7906,0.5774,0.8944,0.1038
ID,multilingual-e5-base,6,apa itu kemurahan hati,0.527,-0.1026,0.7071,0.1801
ID,gte-multilingual-base,24,apa yang terjadi pada saat pencapaian pencerahan,0.3627,0.7379,0.5774,0.2147
ID,multilingual-e5-base,25,perasaan malu dan takut,0.4472,0.3536,0.7071,0.2599
ID,gte-multilingual-base,27,jenis jenis karma buruk,0.0,0.0513,0.2635,0.2635
ID,multilingual-e5-base,13,berbagai jenis pemberian,0.3536,0.6156,0.7071,0.3535
ID,multilingual-e5-base,8,manfaat pelaksaan sila,0.1622,0.527,0.6325,0.4703
ID,multilingual-e5-base,7,penjelasan tentang perhatian murni,0.1054,0.7071,0.6708,0.5654
ID,gte-multilingual-base,16,harta yang paling bernilai,0.2887,0.3536,0.866,0.5773
ID,gte-multilingual-base,25,perasaan malu dan takut,-0.2635,-0.866,0.3536,0.6171
ID,gte-multilingual-base,7,penjelasan tentang perhatian murni,0.2887,0.9487,0.9487,0.66
ID,gte-multilingual-base,17,kewajiban seorang umat awam,-0.2236,0.3078,0.4472,0.6708
ID,multilingual-e5-base,30,apa itu proliferasi mental,0.0,0.3536,0.7071,0.7071
ID,gte-multilingual-base,9,jenis jenis kotoran batin,0.0,0.0513,0.7906,0.7906
ID,multilingual-e5-base,22,cara mengikis kotoran batin,-0.2887,0.866,0.527,0.8157
ID,gte-multilingual-base,26,bersatu di kehidupan selanjutnya,-0.527,0.7255,0.2962,0.8232
ID,gte-multilingual-base,12,kewajiban seorang bhikkhu,0.0,0.9487,0.9487,0.9487
ID,multilingual-e5-base,9,jenis jenis kotoran batin,0.0,-0.2052,0.9747,0.9747
ID,multilingual-e5-base,14,apa makna kekosongan,-0.7071,,0.6156,1.3227
ID,gte-multilingual-base,3,apa penyebab penderitaan,-0.7071,0.7071,0.7071,1.4142
ID,multilingual-e5-base,3,apa penyebab penderitaan,-0.7071,,0.7071,1.4142
ID,gte-multilingual-base,8,manfaat pelaksaan sila,-0.866,0.6882,0.5798,1.4458
