Korpus,Family,query_id,kueri,B,GPL,exp5.4.2,Δ(exp5.4.2-B)
ID,gte-multilingual-base,7,penjelasan tentang perhatian murni,0.8849,0.354,0.1131,-0.7718
ID,gte-multilingual-base,15,apa kualitas yang harus dimiliki oleh seorang penceramah,0.8651,0.5725,0.374,-0.4911
ID,gte-multilingual-base,20,penggambaran terhadap keagungan buddha,0.4847,0.2473,0.1028,-0.3819
ID,multilingual-e5-base,5,perumpamaan perumpamaan,0.9076,0.5949,0.6662,-0.2414
ID,multilingual-e5-base,15,apa kualitas yang harus dimiliki oleh seorang penceramah,0.5725,0.7454,0.3714,-0.2011
ID,multilingual-e5-base,23,penjelasan tentang pandangan terang,0.8158,0.6273,0.6181,-0.1977
ID,multilingual-e5-base,14,apa makna kekosongan,0.8347,0.0,0.6747,-0.16
ID,gte-multilingual-base,10,kriteria kesucian,0.5336,0.2178,0.39,-0.1436
ID,multilingual-e5-base,20,penggambaran terhadap keagungan buddha,0.6492,0.2704,0.5443,-0.1049
ID,gte-multilingual-base,13,berbagai jenis pemberian,1.0,0.8152,0.9563,-0.0437
ID,multilingual-e5-base,11,siapa yang layak disebut sebagai brahmana,0.5466,0.2896,0.5177,-0.0289
ID,multilingual-e5-base,29,jenis orang yang tak boleh ditahbiskan,0.5296,0.8688,0.5087,-0.0209
ID,gte-multilingual-base,14,apa makna kekosongan,0.6806,0.3917,0.6655,-0.0151
ID,multilingual-e5-base,6,apa itu kemurahan hati,0.6038,0.6284,0.598,-0.0058
ID,gte-multilingual-base,6,apa itu kemurahan hati,0.4608,0.6547,0.4608,0.0
ID,gte-multilingual-base,5,perumpamaan perumpamaan,1.0,0.8721,1.0,0.0
ID,gte-multilingual-base,27,jenis jenis karma buruk,0.5167,0.4399,0.5167,0.0
ID,multilingual-e5-base,18,penyebab gempa bumi,1.0,1.0,1.0,0.0
ID,multilingual-e5-base,24,apa yang terjadi pada saat pencapaian pencerahan,0.4155,0.1246,0.4209,0.0054
ID,multilingual-e5-base,13,berbagai jenis pemberian,0.9026,0.6774,0.9125,0.0099
ID,multilingual-e5-base,25,perasaan malu dan takut,0.8412,0.618,0.8721,0.0309
ID,gte-multilingual-base,19,jenis jenis kemelekatan,0.9563,1.0,1.0,0.0437
ID,gte-multilingual-base,18,penyebab gempa bumi,0.9563,1.0,1.0,0.0437
ID,multilingual-e5-base,19,jenis jenis kemelekatan,0.9563,0.8688,1.0,0.0437
ID,multilingual-e5-base,4,mengapa harus membalas budi orangtua,0.9026,0.8688,0.9513,0.0487
ID,multilingual-e5-base,8,manfaat pelaksaan sila,0.5982,0.4444,0.6568,0.0586
ID,gte-multilingual-base,25,perasaan malu dan takut,0.7182,0.7591,0.7817,0.0635
ID,gte-multilingual-base,16,harta yang paling bernilai,0.7945,0.9026,0.8589,0.0644
ID,multilingual-e5-base,26,bersatu di kehidupan selanjutnya,0.4054,0.0,0.4748,0.0694
ID,gte-multilingual-base,24,apa yang terjadi pada saat pencapaian pencerahan,0.4459,0.5059,0.5222,0.0763
ID,gte-multilingual-base,12,kewajiban seorang bhikkhu,0.9073,0.8895,0.9914,0.0841
ID,multilingual-e5-base,21,jenis jenis manusia,0.6667,0.8304,0.7508,0.0841
