Model,Versi,Korpus,Spearman,Spearman (tanpa heading)
gpl-gte-multilingual-base,exp5.1,ID,0.5799,0.5799
gpl-gte-multilingual-base,exp4.1,ID,0.5771,0.5771
gpl-gte-multilingual-base,exp4,ID,0.5622,0.5622
gpl-gte-multilingual-base,exp5.0,ID,0.5586,0.5586
gpl-gte-multilingual-base,exp5.3,ID,0.5457,0.5457
gpl-gte-multilingual-base,exp5.4,ID,0.5067,0.5067
gpl-multilingual-e5-base,exp5.0,ID,0.5054,0.5054
multilingual-e5-base,exp5,ID,0.5027,0.5027
gpl-gte-multilingual-base,exp2,ID,0.484,0.484
gpl-gte-multilingual-base,exp5.2,ID,0.4764,0.4764
gpl-multilingual-e5-base,exp5.1,ID,0.4762,0.4762
gte-multilingual-base,exp5,ID,0.4753,0.4753
gpl-multilingual-e5-base,exp3,ID,0.4614,0.4614
gpl-gte-multilingual-base,exp4.3,ID,0.4592,0.4592
gpl-gte-multilingual-base,GPL,ID,0.4499,0.4499
gpl-gte-multilingual-base,exp1,ID,0.4481,0.4481
gpl-multilingual-e5-base,exp2,ID,0.4428,0.4428
gpl-multilingual-e5-base,exp5.2,ID,0.4358,0.4358
gpl-gte-multilingual-base,exp3,ID,0.4339,0.4339
gpl-multilingual-e5-base,exp5.4,ID,0.4201,0.4201
gpl-gte-multilingual-base,exp4.2,ID,0.4188,0.4188
BM25,B,ID,0.4161,0.4161
gpl-multilingual-e5-base,exp5.3,ID,0.4006,0.4006
gte-multilingual-base,B,ID,0.3989,0.3989
gpl-multilingual-e5-base,exp4.1,ID,0.3884,0.3884
gpl-multilingual-e5-base,GPL,ID,0.3847,0.3847
gpl-multilingual-e5-base,exp4.2,ID,0.3678,0.3678
gpl-multilingual-e5-base,exp1,ID,0.3591,0.3591
multilingual-e5-base,B,ID,0.3573,0.3573
gpl-multilingual-e5-base,exp4.3,ID,0.3354,0.3354
gpl-multilingual-e5-base,exp4,ID,0.3301,0.3301
bge-m3,B,ID,0.0986,0.0986
