Korpus,Family,query_id,kueri,B,GPL,exp4.3,Δ(exp4.3-B)
ID,multilingual-e5-base,22,cara mengikis kotoran batin,0.0,0.3536,-0.9487,-0.9487
ID,gte-multilingual-base,14,apa makna kekosongan,0.7071,0.7454,-0.2236,-0.9307
ID,multilingual-e5-base,29,jenis orang yang tak boleh ditahbiskan,0.1118,,-0.7071,-0.8189
ID,multilingual-e5-base,16,harta yang paling bernilai,0.3536,,-0.3536,-0.7072
ID,gte-multilingual-base,9,jenis jenis kotoran batin,0.3947,0.1581,-0.2108,-0.6055
ID,multilingual-e5-base,23,penjelasan tentang pandangan terang,0.5774,-0.7255,0.0,-0.5774
ID,gte-multilingual-base,27,jenis jenis karma buruk,0.4472,0.5774,0.0,-0.4472
ID,gte-multilingual-base,2,cara mengatasi ngantuk,0.3627,,0.0,-0.3627
ID,multilingual-e5-base,20,penggambaran terhadap keagungan buddha,0.3162,-0.3162,0.0,-0.3162
ID,gte-multilingual-base,13,berbagai jenis pemberian,0.866,0.6325,0.5774,-0.2886
ID,multilingual-e5-base,13,berbagai jenis pemberian,0.866,0.5774,0.5774,-0.2886
ID,gte-multilingual-base,22,cara mengikis kotoran batin,0.866,0.8944,0.803,-0.063
ID,gte-multilingual-base,29,jenis orang yang tak boleh ditahbiskan,0.0,-0.7071,0.0,0.0
ID,multilingual-e5-base,8,manfaat pelaksaan sila,0.0,0.4104,0.0,0.0
ID,gte-multilingual-base,6,apa itu kemurahan hati,0.7071,0.866,0.7071,0.0
ID,gte-multilingual-base,4,mengapa harus membalas budi orangtua,0.0,0.4472,0.1118,0.1118
ID,multilingual-e5-base,15,apa kualitas yang harus dimiliki oleh seorang penceramah,0.0,0.0,0.2236,0.2236
ID,multilingual-e5-base,6,apa itu kemurahan hati,0.2236,0.2887,0.5407,0.3171
ID,gte-multilingual-base,24,apa yang terjadi pada saat pencapaian pencerahan,0.2868,-0.3536,0.6124,0.3256
ID,gte-multilingual-base,23,penjelasan tentang pandangan terang,-0.6489,-0.8885,-0.2962,0.3527
ID,multilingual-e5-base,12,kewajiban seorang bhikkhu,0.0,-0.3536,0.3536,0.3536
ID,gte-multilingual-base,1,cara mengatasi kemarahan,0.0,-0.3536,0.4472,0.4472
ID,multilingual-e5-base,9,jenis jenis kotoran batin,-0.4588,0.4617,0.0,0.4588
ID,multilingual-e5-base,7,penjelasan tentang perhatian murni,-0.2887,0.0513,0.3536,0.6423
ID,gte-multilingual-base,8,manfaat pelaksaan sila,-0.3354,0.6882,0.3536,0.689
ID,multilingual-e5-base,11,siapa yang layak disebut sebagai brahmana,-0.1481,,0.6325,0.7806
ID,multilingual-e5-base,10,kriteria kesucian,-0.3536,-0.3536,0.6708,1.0244
ID,gte-multilingual-base,26,bersatu di kehidupan selanjutnya,-0.7071,0.7255,0.3354,1.0425
ID,gte-multilingual-base,17,kewajiban seorang umat awam,-0.7071,0.2236,0.3441,1.0512
ID,multilingual-e5-base,1,cara mengatasi kemarahan,-0.7255,0.2236,0.4596,1.1851
