Korpus,Family,query_id,kueri,B,GPL,exp5.4,Δ(exp5.4-B)
ID,multilingual-e5-base,27,jenis jenis karma buruk,0.9563,0.214,0.3919,-0.5644
ID,gte-multilingual-base,7,penjelasan tentang perhatian murni,1.0,0.4105,0.524,-0.476
ID,gte-multilingual-base,27,jenis jenis karma buruk,0.8412,0.5087,0.3919,-0.4493
ID,gte-multilingual-base,26,bersatu di kehidupan selanjutnya,0.8869,0.7797,0.524,-0.3629
ID,multilingual-e5-base,20,penggambaran terhadap keagungan buddha,0.5962,0.4582,0.264,-0.3322
ID,gte-multilingual-base,24,apa yang terjadi pada saat pencapaian pencerahan,0.8313,0.8573,0.5734,-0.2579
ID,multilingual-e5-base,13,berbagai jenis pemberian,0.7738,0.7116,0.5365,-0.2373
ID,multilingual-e5-base,29,jenis orang yang tak boleh ditahbiskan,0.3431,0.0,0.1105,-0.2326
ID,multilingual-e5-base,21,jenis jenis manusia,1.0,0.8304,0.7945,-0.2055
ID,multilingual-e5-base,24,apa yang terjadi pada saat pencapaian pencerahan,1.0,0.5536,0.8235,-0.1765
ID,multilingual-e5-base,1,cara mengatasi kemarahan,0.8869,0.4266,0.7154,-0.1715
ID,multilingual-e5-base,17,kewajiban seorang umat awam,0.9513,0.786,0.7945,-0.1568
ID,gte-multilingual-base,16,harta yang paling bernilai,1.0,0.9026,0.851,-0.149
ID,gte-multilingual-base,15,apa kualitas yang harus dimiliki oleh seorang penceramah,1.0,0.9026,0.851,-0.149
ID,multilingual-e5-base,25,perasaan malu dan takut,1.0,0.9513,0.8849,-0.1151
ID,gte-multilingual-base,13,berbagai jenis pemberian,0.7738,0.8349,0.6589,-0.1149
ID,gte-multilingual-base,22,cara mengikis kotoran batin,0.8524,0.7696,0.7542,-0.0982
ID,gte-multilingual-base,30,apa itu proliferasi mental,1.0,1.0,0.9513,-0.0487
ID,multilingual-e5-base,3,apa penyebab penderitaan,1.0,1.0,0.9513,-0.0487
ID,multilingual-e5-base,15,apa kualitas yang harus dimiliki oleh seorang penceramah,0.9435,0.8869,0.8997,-0.0438
