Korpus,Family,query_id,kueri,B,GPL,exp1,exp2,exp3,exp4,exp4.1,exp4.2,exp4.3,exp5,exp5.0,exp5.1,exp5.2,exp5.3,exp5.4,exp5.4.1,exp5.4.2,exp5.4.3,exp6,Δ(exp2-B)
ID,multilingual-e5-base,14,apa makna kekosongan,0.7827,0.0,0.1018,0.0964,0.435,0.3673,0.3673,0.7968,0.7882,0.7346,0.3673,0.3673,0.5682,0.6809,0.4155,0.4918,0.6327,0.7346,,-0.6863
ID,gte-multilingual-base,7,penjelasan tentang perhatian murni,0.8849,0.354,0.4773,0.2698,0.0713,0.5087,0.4316,0.354,0.616,0.5594,0.4464,0.4464,0.354,0.5108,0.0437,0.2846,0.1131,0.5673,0.5973,-0.6151
ID,gte-multilingual-base,20,penggambaran terhadap keagungan buddha,0.4125,0.2104,0.2055,0.0,0.0487,0.1131,0.1696,0.0,0.0565,0.736,0.0875,0.4047,0.0875,0.0437,0.1312,0.0875,0.0875,0.0,0.2748,-0.4125
ID,gte-multilingual-base,10,kriteria kesucian,0.5336,0.2178,0.1782,0.1268,0.1268,0.1641,0.1105,0.2491,0.1572,0.5331,0.4854,0.3127,0.3673,0.4918,0.3213,0.3977,0.39,0.54,,-0.4068
ID,multilingual-e5-base,20,penggambaran terhadap keagungan buddha,0.5525,0.2301,0.5227,0.1848,0.4661,0.2748,0.12,0.5713,0.7034,0.4554,0.406,0.4188,0.7945,0.7945,0.0437,0.0,0.4632,0.4971,,-0.3677
ID,gte-multilingual-base,14,apa makna kekosongan,0.6382,0.3673,0.3673,0.3018,0.74,0.6186,0.5455,0.6327,0.7346,0.8342,0.3673,0.3673,0.4155,0.8132,0.5541,0.5541,0.6241,0.6241,,-0.3364
ID,gte-multilingual-base,12,kewajiban seorang bhikkhu,0.8611,0.8442,0.7851,0.5435,0.8072,0.8663,0.912,0.8611,0.8154,0.9409,0.9409,0.8524,0.7187,0.89,0.9409,0.9409,0.9409,0.9409,0.9543,-0.3176
ID,gte-multilingual-base,11,siapa yang layak disebut sebagai brahmana,0.7458,0.2826,0.2183,0.4504,0.4818,0.6499,0.8304,0.9563,1.0,0.8362,1.0,0.9026,0.8008,0.9435,0.8869,0.8304,0.8432,0.7149,0.6003,-0.2954
ID,gte-multilingual-base,15,apa kualitas yang harus dimiliki oleh seorang penceramah,0.8651,0.5725,0.5725,0.5725,0.4836,0.5725,0.519,0.5725,0.5725,0.874,0.5725,0.519,0.519,0.5725,0.519,0.183,0.374,0.6179,0.6105,-0.2926
ID,gte-multilingual-base,26,bersatu di kehidupan selanjutnya,0.5061,0.1328,0.1328,0.2167,0.2167,0.3403,0.3403,0.3253,0.428,0.6921,0.1178,0.0664,0.1901,0.3825,0.2831,0.2831,0.6921,0.6921,0.2167,-0.2894
