Korpus,Family,query_id,kueri,B,GPL,exp1,Δ(GPL-B)
ID,multilingual-e5-base,14,apa makna kekosongan,0.9611,0.0,0.2077,-0.9611
ID,gte-multilingual-base,11,siapa yang layak disebut sebagai brahmana,0.8164,0.2261,0.1091,-0.5903
ID,multilingual-e5-base,11,siapa yang layak disebut sebagai brahmana,0.7094,0.1448,0.276,-0.5646
ID,gte-multilingual-base,7,penjelasan tentang perhatian murni,0.9425,0.3822,0.4658,-0.5603
ID,gte-multilingual-base,26,bersatu di kehidupan selanjutnya,0.6484,0.1178,0.0664,-0.5306
ID,multilingual-e5-base,24,apa yang terjadi pada saat pencapaian pencerahan,0.7388,0.263,0.1788,-0.4758
ID,multilingual-e5-base,1,cara mengatasi kemarahan,0.8333,0.4535,0.503,-0.3798
ID,multilingual-e5-base,5,perumpamaan perumpamaan,0.9538,0.6588,0.6851,-0.295
ID,gte-multilingual-base,24,apa yang terjadi pada saat pencapaian pencerahan,0.5927,0.3041,0.1788,-0.2886
ID,multilingual-e5-base,20,penggambaran terhadap keagungan buddha,0.6206,0.3719,0.6601,-0.2487
ID,multilingual-e5-base,25,perasaan malu dan takut,0.8565,0.6223,0.6223,-0.2342
ID,gte-multilingual-base,2,cara mengatasi ngantuk,0.214,0.0,0.0,-0.214
ID,multilingual-e5-base,27,jenis jenis karma buruk,0.6597,0.4475,0.6679,-0.2122
ID,multilingual-e5-base,28,berbagai jenis perbuatan baik,0.9319,0.7199,0.7098,-0.212
ID,multilingual-e5-base,23,penjelasan tentang pandangan terang,0.7002,0.4928,0.4124,-0.2074
ID,gte-multilingual-base,27,jenis jenis karma buruk,0.5873,0.3893,0.5916,-0.198
ID,gte-multilingual-base,15,apa kualitas yang harus dimiliki oleh seorang penceramah,0.9409,0.758,0.6778,-0.1829
ID,multilingual-e5-base,13,berbagai jenis pemberian,0.9373,0.7637,0.8959,-0.1736
ID,multilingual-e5-base,29,jenis orang yang tak boleh ditahbiskan,0.423,0.2511,0.289,-0.1719
ID,multilingual-e5-base,30,apa itu proliferasi mental,0.8301,0.6823,0.7052,-0.1478
ID,gte-multilingual-base,28,berbagai jenis perbuatan baik,0.8882,0.7456,0.7277,-0.1426
ID,gte-multilingual-base,14,apa makna kekosongan,0.8136,0.6755,0.6755,-0.1381
ID,multilingual-e5-base,26,bersatu di kehidupan selanjutnya,0.2244,0.1086,0.0,-0.1158
ID,gte-multilingual-base,4,mengapa harus membalas budi orangtua,0.8587,0.7557,0.7776,-0.103
ID,gte-multilingual-base,20,penggambaran terhadap keagungan buddha,0.2839,0.1899,0.1984,-0.094
ID,gte-multilingual-base,13,berbagai jenis pemberian,1.0,0.9091,0.9272,-0.0909
ID,gte-multilingual-base,25,perasaan malu dan takut,0.8512,0.7622,0.7622,-0.089
ID,multilingual-e5-base,10,kriteria kesucian,0.2162,0.1288,0.2877,-0.0874
ID,multilingual-e5-base,19,jenis jenis kemelekatan,0.9781,0.8907,0.8783,-0.0874
ID,gte-multilingual-base,12,kewajiban seorang bhikkhu,0.9559,0.8787,0.7601,-0.0772
ID,gte-multilingual-base,10,kriteria kesucian,0.2616,0.1857,0.179,-0.0759
ID,multilingual-e5-base,12,kewajiban seorang bhikkhu,0.8289,0.7646,0.7109,-0.0643
ID,multilingual-e5-base,8,manfaat pelaksaan sila,0.5343,0.4702,0.3674,-0.0641
ID,gte-multilingual-base,5,perumpamaan perumpamaan,1.0,0.9361,0.9152,-0.0639
ID,multilingual-e5-base,9,jenis jenis kotoran batin,0.5724,0.5181,0.5592,-0.0543
ID,multilingual-e5-base,17,kewajiban seorang umat awam,0.8478,0.7951,0.6599,-0.0527
ID,gte-multilingual-base,30,apa itu proliferasi mental,0.8735,0.8244,0.713,-0.0491
ID,multilingual-e5-base,21,jenis jenis manusia,0.8333,0.8304,1.0,-0.0029
ID,multilingual-e5-base,18,penyebab gempa bumi,1.0,1.0,1.0,0.0
ID,gte-multilingual-base,16,harta yang paling bernilai,0.8973,0.9026,0.8432,0.0053
ID,multilingual-e5-base,22,cara mengikis kotoran batin,0.648,0.6542,0.7338,0.0062
ID,multilingual-e5-base,4,mengapa harus membalas budi orangtua,0.8783,0.8907,0.7689,0.0124
ID,gte-multilingual-base,23,penjelasan tentang pandangan terang,0.2647,0.2849,0.2849,0.0202
ID,gte-multilingual-base,19,jenis jenis kemelekatan,0.9781,1.0,1.0,0.0219
ID,gte-multilingual-base,18,penyebab gempa bumi,0.9781,1.0,1.0,0.0219
ID,gte-multilingual-base,22,cara mengikis kotoran batin,0.8003,0.8405,0.7695,0.0402
ID,multilingual-e5-base,15,apa kualitas yang harus dimiliki oleh seorang penceramah,0.7809,0.8249,0.6461,0.044
ID,multilingual-e5-base,6,apa itu kemurahan hati,0.5535,0.6242,0.667,0.0707
ID,gte-multilingual-base,1,cara mengatasi kemarahan,0.5982,0.691,0.691,0.0928
ID,gte-multilingual-base,17,kewajiban seorang umat awam,0.6335,0.7336,0.6864,0.1001
ID,multilingual-e5-base,7,penjelasan tentang perhatian murni,0.3552,0.4609,0.4503,0.1057
ID,multilingual-e5-base,3,apa penyebab penderitaan,0.7448,0.8737,0.8144,0.1289
ID,gte-multilingual-base,29,jenis orang yang tak boleh ditahbiskan,0.147,0.289,0.289,0.142
ID,gte-multilingual-base,3,apa penyebab penderitaan,0.7448,0.933,0.933,0.1882
ID,multilingual-e5-base,16,harta yang paling bernilai,0.7564,0.9563,0.9563,0.1999
ID,gte-multilingual-base,9,jenis jenis kotoran batin,0.4642,0.6917,0.5267,0.2275
ID,gte-multilingual-base,21,jenis jenis manusia,0.7473,0.9781,1.0,0.2308
ID,gte-multilingual-base,6,apa itu kemurahan hati,0.4538,0.6925,0.6925,0.2387
ID,gte-multilingual-base,8,manfaat pelaksaan sila,0.1514,0.4522,0.3392,0.3008
ID,multilingual-e5-base,2,cara mengatasi ngantuk,0.6893,1.0,1.0,0.3107
