Korpus,Family,query_id,kueri,B,GPL,exp1,Δ(exp1-B)
ID,multilingual-e5-base,14,apa makna kekosongan,0.9611,0.0,0.2077,-0.7534
ID,gte-multilingual-base,11,siapa yang layak disebut sebagai brahmana,0.8164,0.2261,0.1091,-0.7073
ID,gte-multilingual-base,26,bersatu di kehidupan selanjutnya,0.6484,0.1178,0.0664,-0.582
ID,multilingual-e5-base,24,apa yang terjadi pada saat pencapaian pencerahan,0.7388,0.263,0.1788,-0.56
ID,gte-multilingual-base,7,penjelasan tentang perhatian murni,0.9425,0.3822,0.4658,-0.4767
ID,multilingual-e5-base,11,siapa yang layak disebut sebagai brahmana,0.7094,0.1448,0.276,-0.4334
ID,gte-multilingual-base,24,apa yang terjadi pada saat pencapaian pencerahan,0.5927,0.3041,0.1788,-0.4139
ID,multilingual-e5-base,1,cara mengatasi kemarahan,0.8333,0.4535,0.503,-0.3303
ID,multilingual-e5-base,23,penjelasan tentang pandangan terang,0.7002,0.4928,0.4124,-0.2878
ID,multilingual-e5-base,5,perumpamaan perumpamaan,0.9538,0.6588,0.6851,-0.2687
ID,gte-multilingual-base,15,apa kualitas yang harus dimiliki oleh seorang penceramah,0.9409,0.758,0.6778,-0.2631
ID,multilingual-e5-base,25,perasaan malu dan takut,0.8565,0.6223,0.6223,-0.2342
ID,multilingual-e5-base,26,bersatu di kehidupan selanjutnya,0.2244,0.1086,0.0,-0.2244
ID,multilingual-e5-base,28,berbagai jenis perbuatan baik,0.9319,0.7199,0.7098,-0.2221
ID,gte-multilingual-base,2,cara mengatasi ngantuk,0.214,0.0,0.0,-0.214
ID,gte-multilingual-base,12,kewajiban seorang bhikkhu,0.9559,0.8787,0.7601,-0.1958
ID,multilingual-e5-base,17,kewajiban seorang umat awam,0.8478,0.7951,0.6599,-0.1879
ID,multilingual-e5-base,8,manfaat pelaksaan sila,0.5343,0.4702,0.3674,-0.1669
ID,gte-multilingual-base,30,apa itu proliferasi mental,0.8735,0.8244,0.713,-0.1605
ID,gte-multilingual-base,28,berbagai jenis perbuatan baik,0.8882,0.7456,0.7277,-0.1605
ID,gte-multilingual-base,14,apa makna kekosongan,0.8136,0.6755,0.6755,-0.1381
ID,multilingual-e5-base,15,apa kualitas yang harus dimiliki oleh seorang penceramah,0.7809,0.8249,0.6461,-0.1348
ID,multilingual-e5-base,29,jenis orang yang tak boleh ditahbiskan,0.423,0.2511,0.289,-0.134
ID,multilingual-e5-base,30,apa itu proliferasi mental,0.8301,0.6823,0.7052,-0.1249
ID,multilingual-e5-base,12,kewajiban seorang bhikkhu,0.8289,0.7646,0.7109,-0.118
ID,multilingual-e5-base,4,mengapa harus membalas budi orangtua,0.8783,0.8907,0.7689,-0.1094
ID,multilingual-e5-base,19,jenis jenis kemelekatan,0.9781,0.8907,0.8783,-0.0998
ID,gte-multilingual-base,25,perasaan malu dan takut,0.8512,0.7622,0.7622,-0.089
ID,gte-multilingual-base,20,penggambaran terhadap keagungan buddha,0.2839,0.1899,0.1984,-0.0855
ID,gte-multilingual-base,5,perumpamaan perumpamaan,1.0,0.9361,0.9152,-0.0848
ID,gte-multilingual-base,10,kriteria kesucian,0.2616,0.1857,0.179,-0.0826
ID,gte-multilingual-base,4,mengapa harus membalas budi orangtua,0.8587,0.7557,0.7776,-0.0811
ID,gte-multilingual-base,13,berbagai jenis pemberian,1.0,0.9091,0.9272,-0.0728
ID,gte-multilingual-base,16,harta yang paling bernilai,0.8973,0.9026,0.8432,-0.0541
ID,multilingual-e5-base,13,berbagai jenis pemberian,0.9373,0.7637,0.8959,-0.0414
ID,gte-multilingual-base,22,cara mengikis kotoran batin,0.8003,0.8405,0.7695,-0.0308
ID,multilingual-e5-base,9,jenis jenis kotoran batin,0.5724,0.5181,0.5592,-0.0132
ID,multilingual-e5-base,18,penyebab gempa bumi,1.0,1.0,1.0,0.0
ID,gte-multilingual-base,27,jenis jenis karma buruk,0.5873,0.3893,0.5916,0.0043
ID,multilingual-e5-base,27,jenis jenis karma buruk,0.6597,0.4475,0.6679,0.0082
ID,gte-multilingual-base,23,penjelasan tentang pandangan terang,0.2647,0.2849,0.2849,0.0202
ID,gte-multilingual-base,19,jenis jenis kemelekatan,0.9781,1.0,1.0,0.0219
ID,gte-multilingual-base,18,penyebab gempa bumi,0.9781,1.0,1.0,0.0219
ID,multilingual-e5-base,20,penggambaran terhadap keagungan buddha,0.6206,0.3719,0.6601,0.0395
ID,gte-multilingual-base,17,kewajiban seorang umat awam,0.6335,0.7336,0.6864,0.0529
ID,gte-multilingual-base,9,jenis jenis kotoran batin,0.4642,0.6917,0.5267,0.0625
