Korpus,Family,query_id,kueri,B,GPL,exp5.2,Δ(exp5.2-B)
ID,gte-multilingual-base,7,penjelasan tentang perhatian murni,0.9425,0.3822,0.5668,-0.3757
ID,multilingual-e5-base,14,apa makna kekosongan,0.9611,0.0,0.6831,-0.278
ID,multilingual-e5-base,23,penjelasan tentang pandangan terang,0.882,0.6885,0.6044,-0.2776
ID,gte-multilingual-base,15,apa kualitas yang harus dimiliki oleh seorang penceramah,0.9409,0.758,0.6666,-0.2743
ID,multilingual-e5-base,11,siapa yang layak disebut sebagai brahmana,0.7094,0.1448,0.4789,-0.2305
ID,multilingual-e5-base,24,apa yang terjadi pada saat pencapaian pencerahan,0.7219,0.3495,0.5242,-0.1977
ID,gte-multilingual-base,26,bersatu di kehidupan selanjutnya,0.7741,0.5245,0.5817,-0.1924
ID,gte-multilingual-base,12,kewajiban seorang bhikkhu,0.9321,0.8568,0.7954,-0.1367
ID,multilingual-e5-base,25,perasaan malu dan takut,0.9206,0.7846,0.7871,-0.1335
ID,gte-multilingual-base,25,perasaan malu dan takut,0.8591,0.8795,0.7549,-0.1042
ID,multilingual-e5-base,1,cara mengatasi kemarahan,0.8333,0.4535,0.7292,-0.1041
ID,multilingual-e5-base,13,berbagai jenis pemberian,0.9044,0.7369,0.8052,-0.0992
ID,gte-multilingual-base,13,berbagai jenis pemberian,0.9649,0.8772,0.8867,-0.0782
ID,multilingual-e5-base,27,jenis jenis karma buruk,0.7105,0.3603,0.6325,-0.078
ID,gte-multilingual-base,27,jenis jenis karma buruk,0.7094,0.4896,0.6325,-0.0769
ID,gte-multilingual-base,24,apa yang terjadi pada saat pencapaian pencerahan,0.6479,0.6902,0.5835,-0.0644
ID,gte-multilingual-base,16,harta yang paling bernilai,0.8973,0.9026,0.8331,-0.0642
ID,multilingual-e5-base,17,kewajiban seorang umat awam,0.8478,0.7951,0.8035,-0.0443
ID,gte-multilingual-base,14,apa makna kekosongan,0.8136,0.6755,0.7738,-0.0398
ID,multilingual-e5-base,15,apa kualitas yang harus dimiliki oleh seorang penceramah,0.7809,0.8249,0.7481,-0.0328
ID,gte-multilingual-base,5,perumpamaan perumpamaan,1.0,0.9361,0.9717,-0.0283
ID,gte-multilingual-base,30,apa itu proliferasi mental,0.9704,0.9585,0.9541,-0.0163
ID,gte-multilingual-base,22,cara mengikis kotoran batin,0.8003,0.8405,0.7909,-0.0094
ID,gte-multilingual-base,20,penggambaran terhadap keagungan buddha,0.2839,0.1899,0.2773,-0.0066
ID,multilingual-e5-base,6,apa itu kemurahan hati,0.5535,0.6242,0.5502,-0.0033
ID,multilingual-e5-base,30,apa itu proliferasi mental,0.9559,0.9111,0.9541,-0.0018
ID,multilingual-e5-base,18,penyebab gempa bumi,1.0,1.0,1.0,0.0
ID,multilingual-e5-base,21,jenis jenis manusia,0.8333,0.8304,0.8513,0.018
ID,gte-multilingual-base,19,jenis jenis kemelekatan,0.9781,1.0,1.0,0.0219
ID,gte-multilingual-base,18,penyebab gempa bumi,0.9781,1.0,1.0,0.0219
ID,multilingual-e5-base,19,jenis jenis kemelekatan,0.9781,0.8907,1.0,0.0219
ID,gte-multilingual-base,11,siapa yang layak disebut sebagai brahmana,0.8164,0.2261,0.8542,0.0378
ID,multilingual-e5-base,5,perumpamaan perumpamaan,0.9538,0.6588,1.0,0.0462
ID,multilingual-e5-base,16,harta yang paling bernilai,0.7564,0.9563,0.8149,0.0585
ID,multilingual-e5-base,28,berbagai jenis perbuatan baik,0.9319,0.763,1.0,0.0681
ID,multilingual-e5-base,4,mengapa harus membalas budi orangtua,0.8783,0.8907,0.9513,0.073
ID,multilingual-e5-base,22,cara mengikis kotoran batin,0.648,0.6542,0.736,0.088
ID,gte-multilingual-base,28,berbagai jenis perbuatan baik,0.8663,0.8869,1.0,0.1337
ID,gte-multilingual-base,4,mengapa harus membalas budi orangtua,0.8587,0.7557,1.0,0.1413
ID,multilingual-e5-base,29,jenis orang yang tak boleh ditahbiskan,0.3932,0.2334,0.5372,0.144
ID,multilingual-e5-base,12,kewajiban seorang bhikkhu,0.8083,0.7456,0.9528,0.1445
ID,gte-multilingual-base,21,jenis jenis manusia,0.7473,0.9781,0.9078,0.1605
ID,multilingual-e5-base,3,apa penyebab penderitaan,0.7448,0.8737,0.9075,0.1627
ID,gte-multilingual-base,17,kewajiban seorang umat awam,0.6335,0.7336,0.7963,0.1628
ID,gte-multilingual-base,3,apa penyebab penderitaan,0.7448,0.933,0.91,0.1652
ID,multilingual-e5-base,7,penjelasan tentang perhatian murni,0.3552,0.4609,0.5212,0.166
ID,gte-multilingual-base,10,kriteria kesucian,0.2616,0.1857,0.4292,0.1676
ID,multilingual-e5-base,20,penggambaran terhadap keagungan buddha,0.6206,0.3719,0.8279,0.2073
ID,multilingual-e5-base,10,kriteria kesucian,0.2162,0.1288,0.425,0.2088
ID,multilingual-e5-base,8,manfaat pelaksaan sila,0.5343,0.4702,0.7663,0.232
ID,gte-multilingual-base,1,cara mengatasi kemarahan,0.5982,0.691,0.8577,0.2595
ID,multilingual-e5-base,9,jenis jenis kotoran batin,0.5589,0.5058,0.838,0.2791
ID,multilingual-e5-base,2,cara mengatasi ngantuk,0.6893,1.0,0.9781,0.2888
ID,gte-multilingual-base,6,apa itu kemurahan hati,0.4538,0.6925,0.7882,0.3344
ID,gte-multilingual-base,9,jenis jenis kotoran batin,0.4532,0.6753,0.8226,0.3694
ID,gte-multilingual-base,29,jenis orang yang tak boleh ditahbiskan,0.1367,0.3039,0.5316,0.3949
ID,gte-multilingual-base,23,penjelasan tentang pandangan terang,0.3411,0.6798,0.8174,0.4763
ID,gte-multilingual-base,8,manfaat pelaksaan sila,0.1514,0.4522,0.6442,0.4928
ID,multilingual-e5-base,26,bersatu di kehidupan selanjutnya,0.2244,0.3917,0.7501,0.5257
ID,gte-multilingual-base,2,cara mengatasi ngantuk,0.214,0.0,0.9781,0.7641
