Korpus,Family,query_id,kueri,B,GPL,exp4.3,Δ(GPL-B)
ID,multilingual-e5-base,14,apa makna kekosongan,0.9111,0.0,0.9175,-0.9111
ID,gte-multilingual-base,7,penjelasan tentang perhatian murni,0.8849,0.354,0.616,-0.5309
ID,gte-multilingual-base,11,siapa yang layak disebut sebagai brahmana,0.7458,0.2826,1.0,-0.4632
ID,gte-multilingual-base,26,bersatu di kehidupan selanjutnya,0.5061,0.1328,0.428,-0.3733
ID,multilingual-e5-base,20,penggambaran terhadap keagungan buddha,0.6087,0.2536,0.7751,-0.3551
ID,multilingual-e5-base,26,bersatu di kehidupan selanjutnya,0.3345,0.0,0.7833,-0.3345
ID,gte-multilingual-base,10,kriteria kesucian,0.5336,0.2178,0.1572,-0.3158
ID,gte-multilingual-base,14,apa makna kekosongan,0.7428,0.4275,0.855,-0.3153
ID,multilingual-e5-base,5,perumpamaan perumpamaan,0.9076,0.5949,0.7227,-0.3127
ID,multilingual-e5-base,1,cara mengatasi kemarahan,0.7797,0.4803,0.7797,-0.2994
ID,gte-multilingual-base,15,apa kualitas yang harus dimiliki oleh seorang penceramah,0.8651,0.5725,0.5725,-0.2926
ID,multilingual-e5-base,24,apa yang terjadi pada saat pencapaian pencerahan,0.4155,0.1246,0.5455,-0.2909
ID,multilingual-e5-base,11,siapa yang layak disebut sebagai brahmana,0.5466,0.2896,0.6308,-0.257
ID,multilingual-e5-base,13,berbagai jenis pemberian,0.9026,0.6774,1.0,-0.2252
ID,multilingual-e5-base,25,perasaan malu dan takut,0.8412,0.618,0.8304,-0.2232
ID,gte-multilingual-base,20,penggambaran terhadap keagungan buddha,0.4545,0.2319,0.0623,-0.2226
ID,gte-multilingual-base,2,cara mengatasi ngantuk,0.214,0.0,0.5296,-0.214
ID,multilingual-e5-base,23,penjelasan tentang pandangan terang,0.8158,0.6273,0.6083,-0.1885
ID,gte-multilingual-base,13,berbagai jenis pemberian,1.0,0.8152,1.0,-0.1848
ID,multilingual-e5-base,10,kriteria kesucian,0.2801,0.1018,0.344,-0.1783
ID,multilingual-e5-base,28,berbagai jenis perbuatan baik,0.8638,0.6956,0.9563,-0.1682
ID,multilingual-e5-base,8,manfaat pelaksaan sila,0.5982,0.4444,0.5756,-0.1538
ID,multilingual-e5-base,9,jenis jenis kotoran batin,0.5535,0.4173,0.3393,-0.1362
ID,gte-multilingual-base,4,mengapa harus membalas budi orangtua,0.8869,0.7557,0.7429,-0.1312
ID,gte-multilingual-base,5,perumpamaan perumpamaan,1.0,0.8721,0.9513,-0.1279
ID,gte-multilingual-base,28,berbagai jenis perbuatan baik,0.8638,0.7739,0.8432,-0.0899
ID,multilingual-e5-base,30,apa itu proliferasi mental,0.8611,0.7717,0.8611,-0.0894
ID,multilingual-e5-base,19,jenis jenis kemelekatan,0.9563,0.8688,0.9563,-0.0875
ID,multilingual-e5-base,12,kewajiban seorang bhikkhu,0.8272,0.741,0.9859,-0.0862
ID,gte-multilingual-base,27,jenis jenis karma buruk,0.5167,0.4399,0.6255,-0.0768
ID,multilingual-e5-base,4,mengapa harus membalas budi orangtua,0.9026,0.8688,0.9435,-0.0338
ID,gte-multilingual-base,30,apa itu proliferasi mental,0.89,0.8663,0.9202,-0.0237
ID,gte-multilingual-base,12,kewajiban seorang bhikkhu,0.9073,0.8895,0.8591,-0.0178
ID,multilingual-e5-base,18,penyebab gempa bumi,1.0,1.0,1.0,0.0
ID,multilingual-e5-base,6,apa itu kemurahan hati,0.5699,0.5932,0.6821,0.0233
ID,gte-multilingual-base,25,perasaan malu dan takut,0.7182,0.7591,0.6795,0.0409
ID,gte-multilingual-base,18,penyebab gempa bumi,0.9563,1.0,1.0,0.0437
ID,gte-multilingual-base,19,jenis jenis kemelekatan,0.9563,1.0,1.0,0.0437
ID,multilingual-e5-base,7,penjelasan tentang perhatian murni,0.3948,0.4464,0.3333,0.0516
ID,gte-multilingual-base,24,apa yang terjadi pada saat pencapaian pencerahan,0.4459,0.5059,0.3673,0.06
ID,gte-multilingual-base,17,kewajiban seorang umat awam,0.564,0.6349,0.6414,0.0709
ID,multilingual-e5-base,17,kewajiban seorang umat awam,0.6809,0.7556,0.961,0.0747
ID,multilingual-e5-base,22,cara mengikis kotoran batin,0.5751,0.664,0.9111,0.0889
ID,gte-multilingual-base,1,cara mengatasi kemarahan,0.5664,0.6667,0.6101,0.1003
ID,gte-multilingual-base,16,harta yang paling bernilai,0.7945,0.9026,0.7302,0.1081
ID,multilingual-e5-base,27,jenis jenis karma buruk,0.3859,0.5095,0.6476,0.1236
ID,multilingual-e5-base,21,jenis jenis manusia,0.6667,0.8304,0.646,0.1637
