Korpus,Family,query_id,kueri,B,GPL,exp4.2,Δ(exp4.2-B)
ID,multilingual-e5-base,23,penjelasan tentang pandangan terang,0.5774,-0.7255,-0.8885,-1.4659
ID,gte-multilingual-base,14,apa makna kekosongan,0.7071,0.7454,-0.7255,-1.4326
ID,multilingual-e5-base,17,kewajiban seorang umat awam,0.3536,-0.3536,-0.7071,-1.0607
ID,multilingual-e5-base,16,harta yang paling bernilai,0.3536,,-0.3536,-0.7072
ID,multilingual-e5-base,20,penggambaran terhadap keagungan buddha,0.3162,-0.3162,-0.3162,-0.6324
ID,gte-multilingual-base,20,penggambaran terhadap keagungan buddha,0.0,-0.7826,-0.6124,-0.6124
ID,multilingual-e5-base,22,cara mengikis kotoran batin,0.0,0.3536,-0.5774,-0.5774
ID,multilingual-e5-base,27,jenis jenis karma buruk,0.7255,0.3536,0.2887,-0.4368
ID,gte-multilingual-base,22,cara mengikis kotoran batin,0.866,0.8944,0.4472,-0.4188
ID,multilingual-e5-base,6,apa itu kemurahan hati,0.2236,0.2887,0.0,-0.2236
ID,multilingual-e5-base,11,siapa yang layak disebut sebagai brahmana,-0.1481,,-0.3536,-0.2055
ID,multilingual-e5-base,29,jenis orang yang tak boleh ditahbiskan,0.1118,,0.0,-0.1118
ID,multilingual-e5-base,9,jenis jenis kotoran batin,-0.4588,0.4617,-0.4743,-0.0155
ID,gte-multilingual-base,11,siapa yang layak disebut sebagai brahmana,0.0,0.0,0.0,0.0
ID,gte-multilingual-base,13,berbagai jenis pemberian,0.866,0.6325,0.866,0.0
ID,gte-multilingual-base,6,apa itu kemurahan hati,0.7071,0.866,0.7071,0.0
ID,multilingual-e5-base,13,berbagai jenis pemberian,0.866,0.5774,0.866,0.0
ID,gte-multilingual-base,23,penjelasan tentang pandangan terang,-0.6489,-0.8885,-0.5923,0.0566
ID,gte-multilingual-base,17,kewajiban seorang umat awam,-0.7071,0.2236,-0.527,0.1801
ID,multilingual-e5-base,7,penjelasan tentang perhatian murni,-0.2887,0.0513,-0.1026,0.1861
ID,gte-multilingual-base,8,manfaat pelaksaan sila,-0.3354,0.6882,0.0,0.3354
ID,multilingual-e5-base,10,kriteria kesucian,-0.3536,-0.3536,0.0,0.3536
ID,gte-multilingual-base,1,cara mengatasi kemarahan,0.0,-0.3536,0.3591,0.3591
ID,gte-multilingual-base,9,jenis jenis kotoran batin,0.3947,0.1581,0.7906,0.3959
ID,gte-multilingual-base,27,jenis jenis karma buruk,0.4472,0.5774,0.866,0.4188
ID,gte-multilingual-base,4,mengapa harus membalas budi orangtua,0.0,0.4472,0.4472,0.4472
ID,gte-multilingual-base,2,cara mengatasi ngantuk,0.3627,,0.866,0.5033
ID,multilingual-e5-base,12,kewajiban seorang bhikkhu,0.0,-0.3536,0.5774,0.5774
ID,multilingual-e5-base,8,manfaat pelaksaan sila,0.0,0.4104,0.6708,0.6708
ID,gte-multilingual-base,29,jenis orang yang tak boleh ditahbiskan,0.0,-0.7071,0.7071,0.7071
ID,multilingual-e5-base,15,apa kualitas yang harus dimiliki oleh seorang penceramah,0.0,0.0,0.8885,0.8885
ID,multilingual-e5-base,1,cara mengatasi kemarahan,-0.7255,0.2236,0.6708,1.3963
ID,gte-multilingual-base,26,bersatu di kehidupan selanjutnya,-0.7071,0.7255,0.9747,1.6818
