Korpus,Family,query_id,kueri,B,GPL,exp5.3,Δ(exp5.3-B)
ID,gte-multilingual-base,20,penggambaran terhadap keagungan buddha,0.4545,0.2319,0.0482,-0.4063
ID,gte-multilingual-base,7,penjelasan tentang perhatian murni,0.8849,0.354,0.5108,-0.3741
ID,gte-multilingual-base,15,apa kualitas yang harus dimiliki oleh seorang penceramah,0.8651,0.5725,0.5725,-0.2926
ID,multilingual-e5-base,11,siapa yang layak disebut sebagai brahmana,0.5466,0.2896,0.354,-0.1926
ID,multilingual-e5-base,21,jenis jenis manusia,0.6667,0.8304,0.5269,-0.1398
ID,gte-multilingual-base,26,bersatu di kehidupan selanjutnya,0.5335,0.14,0.4032,-0.1303
ID,multilingual-e5-base,14,apa makna kekosongan,0.8347,0.0,0.7261,-0.1086
ID,multilingual-e5-base,25,perasaan malu dan takut,0.8412,0.618,0.738,-0.1032
ID,multilingual-e5-base,23,penjelasan tentang pandangan terang,0.765,0.5882,0.6646,-0.1004
ID,multilingual-e5-base,7,penjelasan tentang perhatian murni,0.3948,0.4464,0.3205,-0.0743
ID,gte-multilingual-base,13,berbagai jenis pemberian,1.0,0.8152,0.9513,-0.0487
ID,gte-multilingual-base,5,perumpamaan perumpamaan,1.0,0.8721,0.9513,-0.0487
ID,gte-multilingual-base,10,kriteria kesucian,0.5336,0.2178,0.4918,-0.0418
ID,multilingual-e5-base,4,mengapa harus membalas budi orangtua,0.9026,0.8688,0.8638,-0.0388
ID,gte-multilingual-base,27,jenis jenis karma buruk,0.5167,0.4399,0.5167,0.0
ID,gte-multilingual-base,6,apa itu kemurahan hati,0.4608,0.6547,0.4608,0.0
ID,multilingual-e5-base,18,penyebab gempa bumi,1.0,1.0,1.0,0.0
ID,gte-multilingual-base,25,perasaan malu dan takut,0.7182,0.7591,0.7232,0.005
ID,multilingual-e5-base,8,manfaat pelaksaan sila,0.5982,0.4444,0.6097,0.0115
ID,gte-multilingual-base,16,harta yang paling bernilai,0.7945,0.9026,0.8152,0.0207
ID,multilingual-e5-base,28,berbagai jenis perbuatan baik,0.8638,0.6956,0.8869,0.0231
ID,gte-multilingual-base,12,kewajiban seorang bhikkhu,0.9073,0.8895,0.9377,0.0304
ID,gte-multilingual-base,18,penyebab gempa bumi,0.9563,1.0,1.0,0.0437
ID,multilingual-e5-base,19,jenis jenis kemelekatan,0.9563,0.8688,1.0,0.0437
ID,gte-multilingual-base,19,jenis jenis kemelekatan,0.9563,1.0,1.0,0.0437
ID,gte-multilingual-base,24,apa yang terjadi pada saat pencapaian pencerahan,0.4459,0.5059,0.4918,0.0459
ID,multilingual-e5-base,5,perumpamaan perumpamaan,0.9076,0.5949,0.9563,0.0487
ID,multilingual-e5-base,6,apa itu kemurahan hati,0.6038,0.6284,0.6565,0.0527
ID,multilingual-e5-base,13,berbagai jenis pemberian,0.9026,0.6774,0.9563,0.0537
ID,gte-multilingual-base,4,mengapa harus membalas budi orangtua,0.8869,0.7557,0.9513,0.0644
ID,multilingual-e5-base,12,kewajiban seorang bhikkhu,0.8272,0.741,0.8982,0.071
ID,multilingual-e5-base,1,cara mengatasi kemarahan,0.7797,0.4803,0.856,0.0763
ID,multilingual-e5-base,10,kriteria kesucian,0.2801,0.1018,0.3673,0.0872
ID,multilingual-e5-base,24,apa yang terjadi pada saat pencapaian pencerahan,0.4155,0.1246,0.5245,0.109
ID,gte-multilingual-base,22,cara mengikis kotoran batin,0.7365,0.9275,0.8461,0.1096
ID,gte-multilingual-base,30,apa itu proliferasi mental,0.89,0.8663,1.0,0.11
ID,multilingual-e5-base,27,jenis jenis karma buruk,0.3859,0.5095,0.5167,0.1308
ID,gte-multilingual-base,28,berbagai jenis perbuatan baik,0.8638,0.7739,1.0,0.1362
ID,multilingual-e5-base,30,apa itu proliferasi mental,0.8611,0.7717,1.0,0.1389
ID,multilingual-e5-base,17,kewajiban seorang umat awam,0.7261,0.8058,0.907,0.1809
ID,gte-multilingual-base,14,apa makna kekosongan,0.6806,0.3917,0.8672,0.1866
ID,gte-multilingual-base,11,siapa yang layak disebut sebagai brahmana,0.7458,0.2826,0.9435,0.1977
ID,multilingual-e5-base,9,jenis jenis kotoran batin,0.519,0.3913,0.7168,0.1978
ID,gte-multilingual-base,17,kewajiban seorang umat awam,0.6015,0.6771,0.8099,0.2084
ID,multilingual-e5-base,26,bersatu di kehidupan selanjutnya,0.3526,0.0,0.5616,0.209
ID,multilingual-e5-base,16,harta yang paling bernilai,0.5615,0.9125,0.7739,0.2124
ID,multilingual-e5-base,15,apa kualitas yang harus dimiliki oleh seorang penceramah,0.5725,0.7454,0.8115,0.239
ID,gte-multilingual-base,1,cara mengatasi kemarahan,0.5664,0.6667,0.8073,0.2409
ID,gte-multilingual-base,9,jenis jenis kotoran batin,0.2894,0.5237,0.5331,0.2437
ID,gte-multilingual-base,21,jenis jenis manusia,0.6406,0.9563,0.8869,0.2463
ID,gte-multilingual-base,8,manfaat pelaksaan sila,0.149,0.4522,0.4105,0.2615
ID,multilingual-e5-base,20,penggambaran terhadap keagungan buddha,0.6087,0.2536,0.8754,0.2667
ID,multilingual-e5-base,22,cara mengikis kotoran batin,0.5751,0.664,0.8651,0.29
ID,multilingual-e5-base,2,cara mengatasi ngantuk,0.6893,1.0,1.0,0.3107
ID,multilingual-e5-base,3,apa penyebab penderitaan,0.4637,0.7346,0.8591,0.3954
ID,gte-multilingual-base,3,apa penyebab penderitaan,0.4637,0.8591,0.8591,0.3954
ID,gte-multilingual-base,23,penjelasan tentang pandangan terang,0.351,0.5173,0.7882,0.4372
ID,multilingual-e5-base,29,jenis orang yang tak boleh ditahbiskan,0.5296,0.8688,1.0,0.4704
ID,gte-multilingual-base,2,cara mengatasi ngantuk,0.214,0.0,0.8152,0.6012
ID,gte-multilingual-base,29,jenis orang yang tak boleh ditahbiskan,0.1696,1.0,1.0,0.8304
