Korpus,Family,query_id,kueri,B,GPL,exp5.3,Δ(GPL-B)
ID,multilingual-e5-base,14,apa makna kekosongan,0.8347,0.0,0.7261,-0.8347
ID,gte-multilingual-base,7,penjelasan tentang perhatian murni,0.8849,0.354,0.5108,-0.5309
ID,gte-multilingual-base,11,siapa yang layak disebut sebagai brahmana,0.7458,0.2826,0.9435,-0.4632
ID,gte-multilingual-base,26,bersatu di kehidupan selanjutnya,0.5335,0.14,0.4032,-0.3935
ID,multilingual-e5-base,20,penggambaran terhadap keagungan buddha,0.6087,0.2536,0.8754,-0.3551
ID,multilingual-e5-base,26,bersatu di kehidupan selanjutnya,0.3526,0.0,0.5616,-0.3526
ID,gte-multilingual-base,10,kriteria kesucian,0.5336,0.2178,0.4918,-0.3158
ID,multilingual-e5-base,5,perumpamaan perumpamaan,0.9076,0.5949,0.9563,-0.3127
ID,multilingual-e5-base,1,cara mengatasi kemarahan,0.7797,0.4803,0.856,-0.2994
ID,gte-multilingual-base,15,apa kualitas yang harus dimiliki oleh seorang penceramah,0.8651,0.5725,0.5725,-0.2926
ID,multilingual-e5-base,24,apa yang terjadi pada saat pencapaian pencerahan,0.4155,0.1246,0.5245,-0.2909
ID,gte-multilingual-base,14,apa makna kekosongan,0.6806,0.3917,0.8672,-0.2889
ID,multilingual-e5-base,11,siapa yang layak disebut sebagai brahmana,0.5466,0.2896,0.354,-0.257
ID,multilingual-e5-base,13,berbagai jenis pemberian,0.9026,0.6774,0.9563,-0.2252
ID,multilingual-e5-base,25,perasaan malu dan takut,0.8412,0.618,0.738,-0.2232
ID,gte-multilingual-base,20,penggambaran terhadap keagungan buddha,0.4545,0.2319,0.0482,-0.2226
ID,gte-multilingual-base,2,cara mengatasi ngantuk,0.214,0.0,0.8152,-0.214
ID,gte-multilingual-base,13,berbagai jenis pemberian,1.0,0.8152,0.9513,-0.1848
ID,multilingual-e5-base,10,kriteria kesucian,0.2801,0.1018,0.3673,-0.1783
