Korpus,Family,query_id,kueri,B,GPL,exp1,exp2,exp3,exp4,exp4.1,exp4.2,exp4.3,exp5,exp5.0,exp5.1,exp5.2,exp5.3,exp5.4,exp5.4.1,exp5.4.2,exp5.4.3,Δ(exp4.1-B)
ID,multilingual-e5-base,5,perumpamaan perumpamaan,0.866,0.9487,0.6325,0.2962,0.866,0.2294,-0.9177,,0.7746,0.866,0.0,0.0,,0.7071,0.8839,0.8721,0.9487,0.7746,-1.7837
ID,multilingual-e5-base,15,apa kualitas yang harus dimiliki oleh seorang penceramah,0.4472,0.4617,0.4743,-0.1081,-0.0513,-0.8944,-0.5774,0.9733,0.0,0.2052,0.9,0.9,0.7,0.6,0.8208,0.8208,0.2052,0.7,-1.0246
ID,gte-multilingual-base,28,berbagai jenis perbuatan baik,0.8944,-0.7071,-0.2236,-0.1118,0.3536,-0.1118,-0.1118,-0.1118,0.4472,0.7071,0.7071,0.7071,,,0.7071,0.7071,,,-1.0062
ID,multilingual-e5-base,17,kewajiban seorang umat awam,0.3536,0.0527,-0.3162,-0.9747,0.4588,-0.3162,-0.527,-0.4,0.1581,0.0513,0.1,0.1,-0.2,0.0513,0.1,0.1,-0.2,-0.2,-0.8806
ID,gte-multilingual-base,30,apa itu proliferasi mental,0.866,0.2887,0.0,0.6708,0.7071,0.2887,0.0,0.0,0.0,0.866,0.866,0.866,0.8944,0.8944,0.866,0.866,0.8944,0.8944,-0.866
ID,gte-multilingual-base,20,penggambaran terhadap keagungan buddha,0.3078,-0.3689,-0.5643,-0.25,-0.7826,-0.3953,-0.3627,0.7906,0.6708,0.8208,-0.5,0.3536,-0.7906,-1.0,-0.7906,-1.0,-1.0,-0.7906,-0.6705
ID,gte-multilingual-base,14,apa makna kekosongan,0.7071,0.7454,0.7454,-0.4472,0.0,-0.5407,0.0526,-0.1081,-0.8944,0.0,,,-0.7454,-0.3591,-0.5789,-0.5789,-0.6,-0.6,-0.6545
ID,gte-multilingual-base,2,cara mengatasi ngantuk,0.3627,,,-0.5774,0.5774,0.3627,-0.2582,0.7826,0.0,0.8721,,,0.7071,0.866,0.8721,0.7746,0.7071,0.8944,-0.6209
ID,gte-multilingual-base,6,apa itu kemurahan hati,0.7071,0.8944,0.8944,0.7071,0.7071,0.7071,0.1053,0.7071,0.7071,0.4472,0.5643,0.5643,0.5,0.2052,0.2236,0.2236,0.4472,0.4472,-0.6018
ID,multilingual-e5-base,20,penggambaran terhadap keagungan buddha,0.3162,-0.3162,0.6708,-0.4104,0.2,-0.5643,-0.2635,-0.1539,0.1026,-0.4,-0.2052,-0.3591,0.4,0.4,-0.9177,-0.7906,-0.3,-0.6,-0.5797
ID,gte-multilingual-base,11,siapa yang layak disebut sebagai brahmana,0.5643,0.4472,0.2962,-0.7,0.6669,0.3078,0.0,0.0,,0.6156,,0.8721,0.2236,0.866,0.4472,0.4472,0.4472,0.9747,-0.5643
ID,multilingual-e5-base,28,berbagai jenis perbuatan baik,0.8944,-0.1026,0.6669,0.1118,0.866,0.5643,0.3354,0.2236,0.7071,0.7071,0.7071,0.7071,,0.0,0.7071,0.7071,,0.0,-0.559
ID,multilingual-e5-base,7,penjelasan tentang perhatian murni,0.1054,0.0513,0.527,0.7906,-0.2052,-0.1,-0.3591,-0.3,0.2052,0.6325,0.1,0.1,0.5,-0.5,0.1,0.1,0.1,-0.5,-0.4645
ID,gte-multilingual-base,17,kewajiban seorang umat awam,-0.2236,0.3078,0.6,-0.5643,0.2,-0.4472,-0.6708,-0.7,0.0,0.1,0.1,0.1,0.3,0.4104,0.1,0.1,-0.2,-0.6,-0.4472
ID,multilingual-e5-base,23,penjelasan tentang pandangan terang,0.6669,-0.2294,-0.2294,0.7379,-0.6669,-0.9177,0.2294,-0.9177,0.2294,-0.0527,0.7,0.7,-0.9747,0.0513,0.3591,0.3591,-0.9747,-0.6156,-0.4375
ID,multilingual-e5-base,26,bersatu di kehidupan selanjutnya,-0.3536,,0.6882,0.4,-0.2052,-0.6669,-0.6708,0.8208,-0.7,-0.2236,-0.8721,-0.2236,-0.9,-0.8944,-0.8944,-0.8944,-0.6708,0.4472,-0.3172
ID,multilingual-e5-base,9,jenis jenis kotoran batin,-0.1579,0.1026,0.2632,-0.6156,-0.3591,-0.5526,-0.4617,-0.3591,-0.1026,0.6156,0.9,0.7,1.0,0.8208,0.6,0.4617,0.6669,0.3,-0.3038
