Korpus,Family,query_id,kueri,B,GPL,exp6,Δ(exp6-B)
ID,gte-multilingual-base,22,cara mengikis kotoran batin,0.866,0.4472,-0.866,-1.732
ID,gte-multilingual-base,7,penjelasan tentang perhatian murni,0.2887,0.9487,-0.8944,-1.1831
ID,gte-multilingual-base,23,penjelasan tentang pandangan terang,0.1081,-0.9177,-0.8885,-0.9966
ID,gte-multilingual-base,1,cara mengatasi kemarahan,0.5774,,0.0,-0.5774
ID,gte-multilingual-base,11,siapa yang layak disebut sebagai brahmana,0.6325,0.4472,0.2108,-0.4217
ID,gte-multilingual-base,24,apa yang terjadi pada saat pencapaian pencerahan,0.3627,0.7379,0.0,-0.3627
ID,gte-multilingual-base,28,berbagai jenis perbuatan baik,0.8944,-0.7071,0.6708,-0.2236
ID,gte-multilingual-base,15,apa kualitas yang harus dimiliki oleh seorang penceramah,0.527,0.7255,0.3536,-0.1734
ID,gte-multilingual-base,19,jenis jenis kemelekatan,0.7071,,0.7071,0.0
ID,gte-multilingual-base,3,apa penyebab penderitaan,-0.7071,0.7071,-0.7071,0.0
ID,gte-multilingual-base,29,jenis orang yang tak boleh ditahbiskan,0.0,,0.0,0.0
ID,gte-multilingual-base,20,penggambaran terhadap keagungan buddha,0.3689,0.1118,0.4472,0.0783
ID,gte-multilingual-base,4,mengapa harus membalas budi orangtua,0.0,0.4472,0.1118,0.1118
ID,gte-multilingual-base,9,jenis jenis kotoran batin,0.0,0.0513,0.2635,0.2635
ID,gte-multilingual-base,16,harta yang paling bernilai,0.2887,0.3536,0.6325,0.3438
ID,gte-multilingual-base,27,jenis jenis karma buruk,0.0,0.0513,0.6669,0.6669
ID,gte-multilingual-base,17,kewajiban seorang umat awam,-0.2236,0.3078,0.4743,0.6979
ID,gte-multilingual-base,12,kewajiban seorang bhikkhu,0.0,0.9487,0.7071,0.7071
ID,gte-multilingual-base,25,perasaan malu dan takut,-0.2635,-0.866,0.866,1.1295
ID,gte-multilingual-base,26,bersatu di kehidupan selanjutnya,-0.527,0.7255,0.8885,1.4155
ID,gte-multilingual-base,8,manfaat pelaksaan sila,-0.866,0.6882,0.8944,1.7604
