Korpus,Family,query_id,kueri,B,GPL,exp4.1,Δ(exp4.1-B)
ID,multilingual-e5-base,17,kewajiban seorang umat awam,0.3536,-0.3536,-0.7071,-1.0607
ID,multilingual-e5-base,20,penggambaran terhadap keagungan buddha,0.3162,-0.3162,-0.7071,-1.0233
ID,gte-multilingual-base,20,penggambaran terhadap keagungan buddha,0.0,-0.7826,-0.8885,-0.8885
ID,multilingual-e5-base,15,apa kualitas yang harus dimiliki oleh seorang penceramah,0.0,0.0,-0.5774,-0.5774
ID,gte-multilingual-base,14,apa makna kekosongan,0.7071,0.7454,0.2294,-0.4777
ID,multilingual-e5-base,26,bersatu di kehidupan selanjutnya,-0.3536,,-0.7071,-0.3535
ID,gte-multilingual-base,8,manfaat pelaksaan sila,-0.3354,0.6882,-0.6669,-0.3315
ID,multilingual-e5-base,2,cara mengatasi ngantuk,0.2052,,0.0,-0.2052
ID,multilingual-e5-base,27,jenis jenis karma buruk,0.7255,0.3536,0.6325,-0.093
ID,multilingual-e5-base,7,penjelasan tentang perhatian murni,-0.2887,0.0513,-0.3591,-0.0704
ID,gte-multilingual-base,27,jenis jenis karma buruk,0.4472,0.5774,0.4443,-0.0029
ID,gte-multilingual-base,22,cara mengikis kotoran batin,0.866,0.8944,0.866,0.0
ID,gte-multilingual-base,11,siapa yang layak disebut sebagai brahmana,0.0,0.0,0.0,0.0
ID,gte-multilingual-base,17,kewajiban seorang umat awam,-0.7071,0.2236,-0.7071,0.0
ID,gte-multilingual-base,13,berbagai jenis pemberian,0.866,0.6325,0.866,0.0
ID,multilingual-e5-base,13,berbagai jenis pemberian,0.866,0.5774,0.866,0.0
ID,gte-multilingual-base,6,apa itu kemurahan hati,0.7071,0.866,0.7255,0.0184
ID,multilingual-e5-base,10,kriteria kesucian,-0.3536,-0.3536,-0.2887,0.0649
ID,multilingual-e5-base,6,apa itu kemurahan hati,0.2236,0.2887,0.2887,0.0651
ID,multilingual-e5-base,9,jenis jenis kotoran batin,-0.4588,0.4617,-0.3591,0.0997
ID,multilingual-e5-base,23,penjelasan tentang pandangan terang,0.5774,-0.7255,0.7255,0.1481
ID,gte-multilingual-base,29,jenis orang yang tak boleh ditahbiskan,0.0,-0.7071,0.2236,0.2236
ID,multilingual-e5-base,22,cara mengikis kotoran batin,0.0,0.3536,0.2236,0.2236
ID,multilingual-e5-base,4,mengapa harus membalas budi orangtua,0.3536,0.3536,0.7826,0.429
ID,multilingual-e5-base,12,kewajiban seorang bhikkhu,0.0,-0.3536,0.4472,0.4472
ID,gte-multilingual-base,9,jenis jenis kotoran batin,0.3947,0.1581,0.9487,0.554
ID,multilingual-e5-base,8,manfaat pelaksaan sila,0.0,0.4104,0.6708,0.6708
ID,gte-multilingual-base,1,cara mengatasi kemarahan,0.0,-0.3536,0.7071,0.7071
ID,multilingual-e5-base,11,siapa yang layak disebut sebagai brahmana,-0.1481,,0.5774,0.7255
ID,gte-multilingual-base,26,bersatu di kehidupan selanjutnya,-0.7071,0.7255,0.0513,0.7584
ID,gte-multilingual-base,4,mengapa harus membalas budi orangtua,0.0,0.4472,0.7906,0.7906
ID,gte-multilingual-base,23,penjelasan tentang pandangan terang,-0.6489,-0.8885,0.4588,1.1077
ID,multilingual-e5-base,1,cara mengatasi kemarahan,-0.7255,0.2236,0.5643,1.2898
