=== nDCG (LLM judge) — 2026-07-09 11:48 ===
Judge: Claude Opus 4.8, Gemini 3.1 Pro

   1. @5=0.7644  gpl-multilingual-e5-base (exp5.1,ID)
   2. @5=0.7621  gpl-multilingual-e5-base (exp5.2,ID)
   3. @5=0.7613  gpl-gte-multilingual-base (exp5.2,ID)
   4. @5=0.7613  gpl-multilingual-e5-base (exp5.0,ID)
   5. @5=0.7552  gpl-multilingual-e5-base (exp5.3,ID)
   6. @5=0.7549  gpl-gte-multilingual-base (exp5.3,ID)
   7. @5=0.7534  multilingual-e5-base (exp5,ID)
   8. @5=0.7455  gpl-multilingual-e5-base (exp5.4,ID)
   9. @5=0.7418  gte-multilingual-base (exp5,ID)
  10. @5=0.7387  gpl-multilingual-e5-base (exp4.3,ID)
  11. @5=0.7278  gpl-gte-multilingual-base (exp5.1,ID)
  12. @5=0.7270  gpl-gte-multilingual-base (exp5.0,ID)
  13. @5=0.7189  multilingual-e5-base (B,ID)
  14. @5=0.7183  gpl-gte-multilingual-base (exp5.4,ID)
  15. @5=0.6968  gpl-gte-multilingual-base (exp4.3,ID)
  16. @5=0.6807  gte-multilingual-base (B,ID)
  17. @5=0.6797  gpl-gte-multilingual-base (exp4.2,ID)
  18. @5=0.6737  gpl-multilingual-e5-base (exp4.2,ID)
  19. @5=0.6616  gpl-gte-multilingual-base (exp4,ID)
  20. @5=0.6612  gpl-gte-multilingual-base (GPL,ID)
  21. @5=0.6541  gpl-gte-multilingual-base (exp4.1,ID)
  22. @5=0.6537  gpl-multilingual-e5-base (exp3,ID)
  23. @5=0.6515  gpl-gte-multilingual-base (exp3,ID)
  24. @5=0.6480  bge-m3 (B,ID)
  25. @5=0.6434  gpl-multilingual-e5-base (exp1,ID)
  26. @5=0.6429  gpl-gte-multilingual-base (exp1,ID)
  27. @5=0.6283  gpl-multilingual-e5-base (exp4.1,ID)
  28. @5=0.6262  gpl-multilingual-e5-base (exp2,ID)
  29. @5=0.6113  gpl-multilingual-e5-base (exp4,ID)
  30. @5=0.6104  gpl-multilingual-e5-base (GPL,ID)
  31. @5=0.6033  BM25 (B,ID)
  32. @5=0.5879  gpl-gte-multilingual-base (exp2,ID)
