Model,Versi,Korpus,nDCG@5
gpl-multilingual-e5-base,exp5.1,ID,0.7644
gpl-multilingual-e5-base,exp5.2,ID,0.7621
gpl-gte-multilingual-base,exp5.2,ID,0.7613
gpl-multilingual-e5-base,exp5.0,ID,0.7613
gpl-multilingual-e5-base,exp5.3,ID,0.7552
gpl-gte-multilingual-base,exp5.3,ID,0.7549
multilingual-e5-base,exp5,ID,0.7534
gpl-multilingual-e5-base,exp5.4,ID,0.7455
gte-multilingual-base,exp5,ID,0.7418
gpl-multilingual-e5-base,exp4.3,ID,0.7387
gpl-gte-multilingual-base,exp5.1,ID,0.7278
gpl-gte-multilingual-base,exp5.0,ID,0.727
multilingual-e5-base,B,ID,0.7189
gpl-gte-multilingual-base,exp5.4,ID,0.7183
gpl-gte-multilingual-base,exp4.3,ID,0.6968
gte-multilingual-base,B,ID,0.6807
gpl-gte-multilingual-base,exp4.2,ID,0.6797
gpl-multilingual-e5-base,exp4.2,ID,0.6737
gpl-gte-multilingual-base,exp4,ID,0.6616
gpl-gte-multilingual-base,GPL,ID,0.6612
gpl-gte-multilingual-base,exp4.1,ID,0.6541
gpl-multilingual-e5-base,exp3,ID,0.6537
gpl-gte-multilingual-base,exp3,ID,0.6515
bge-m3,B,ID,0.648
gpl-multilingual-e5-base,exp1,ID,0.6434
gpl-gte-multilingual-base,exp1,ID,0.6429
gpl-multilingual-e5-base,exp4.1,ID,0.6283
gpl-multilingual-e5-base,exp2,ID,0.6262
gpl-multilingual-e5-base,exp4,ID,0.6113
gpl-multilingual-e5-base,GPL,ID,0.6104
BM25,B,ID,0.6033
gpl-gte-multilingual-base,exp2,ID,0.5879
