Korpus,Family,query_id,kueri,B,GPL,exp5.1,Δ(exp5.1-B)
ID,multilingual-e5-base,27,jenis jenis karma buruk,0.9563,0.214,0.3919,-0.5644
ID,gte-multilingual-base,27,jenis jenis karma buruk,0.8412,0.5087,0.3919,-0.4493
ID,gte-multilingual-base,7,penjelasan tentang perhatian murni,1.0,0.4105,0.5673,-0.4327
ID,multilingual-e5-base,24,apa yang terjadi pada saat pencapaian pencerahan,1.0,0.5536,0.6667,-0.3333
ID,multilingual-e5-base,13,berbagai jenis pemberian,0.9073,0.8344,0.6291,-0.2782
ID,gte-multilingual-base,15,apa kualitas yang harus dimiliki oleh seorang penceramah,1.0,0.9026,0.7817,-0.2183
ID,gte-multilingual-base,2,cara mengatasi ngantuk,0.214,0.0,0.0,-0.214
ID,gte-multilingual-base,26,bersatu di kehidupan selanjutnya,0.8869,0.7797,0.6795,-0.2074
ID,gte-multilingual-base,13,berbagai jenis pemberian,0.9073,0.979,0.7009,-0.2064
ID,multilingual-e5-base,1,cara mengatasi kemarahan,0.8869,0.4266,0.6936,-0.1933
ID,multilingual-e5-base,17,kewajiban seorang umat awam,0.9513,0.786,0.7719,-0.1794
ID,gte-multilingual-base,25,perasaan malu dan takut,1.0,1.0,0.8362,-0.1638
ID,gte-multilingual-base,24,apa yang terjadi pada saat pencapaian pencerahan,0.8313,0.8573,0.6725,-0.1588
ID,gte-multilingual-base,22,cara mengikis kotoran batin,0.8524,0.7696,0.7187,-0.1337
ID,multilingual-e5-base,21,jenis jenis manusia,1.0,0.8304,0.8869,-0.1131
ID,multilingual-e5-base,23,penjelasan tentang pandangan terang,0.8997,0.7104,0.7945,-0.1052
ID,multilingual-e5-base,25,perasaan malu dan takut,1.0,0.9513,0.9076,-0.0924
ID,multilingual-e5-base,11,siapa yang layak disebut sebagai brahmana,0.8721,0.0,0.7797,-0.0924
ID,gte-multilingual-base,16,harta yang paling bernilai,1.0,0.9026,0.9076,-0.0924
ID,gte-multilingual-base,11,siapa yang layak disebut sebagai brahmana,0.8869,0.1696,0.8073,-0.0796
