Korpus,Family,query_id,kueri,B,GPL,exp1,Δ(GPL-B)
ID,multilingual-e5-base,14,apa makna kekosongan,1.0,0.0,0.2773,-1.0
ID,multilingual-e5-base,11,siapa yang layak disebut sebagai brahmana,0.8721,0.0,0.1312,-0.8721
ID,multilingual-e5-base,24,apa yang terjadi pada saat pencapaian pencerahan,1.0,0.2005,0.0,-0.7995
ID,gte-multilingual-base,11,siapa yang layak disebut sebagai brahmana,0.8869,0.1696,0.0,-0.7173
ID,gte-multilingual-base,7,penjelasan tentang perhatian murni,1.0,0.4105,0.4542,-0.5895
ID,gte-multilingual-base,26,bersatu di kehidupan selanjutnya,0.673,0.0875,0.0,-0.5855
ID,multilingual-e5-base,1,cara mengatasi kemarahan,0.8869,0.4266,0.4475,-0.4603
ID,gte-multilingual-base,24,apa yang terjadi pada saat pencapaian pencerahan,0.7001,0.2773,0.0,-0.4228
ID,multilingual-e5-base,27,jenis jenis karma buruk,0.8589,0.4401,0.6844,-0.4188
ID,multilingual-e5-base,29,jenis orang yang tak boleh ditahbiskan,0.3604,0.0,0.0,-0.3604
ID,multilingual-e5-base,25,perasaan malu dan takut,0.8573,0.5339,0.5339,-0.3234
ID,multilingual-e5-base,5,perumpamaan perumpamaan,1.0,0.7227,0.7699,-0.2773
ID,multilingual-e5-base,23,penjelasan tentang pandangan terang,0.6177,0.3455,0.2491,-0.2722
ID,multilingual-e5-base,28,berbagai jenis perbuatan baik,1.0,0.7443,0.76,-0.2557
ID,gte-multilingual-base,27,jenis jenis karma buruk,0.6151,0.38,0.613,-0.2351
ID,gte-multilingual-base,2,cara mengatasi ngantuk,0.214,0.0,0.0,-0.214
ID,multilingual-e5-base,30,apa itu proliferasi mental,0.76,0.5635,0.5635,-0.1965
ID,multilingual-e5-base,21,jenis jenis manusia,1.0,0.8304,1.0,-0.1696
ID,multilingual-e5-base,17,kewajiban seorang umat awam,0.9513,0.786,0.6608,-0.1653
ID,gte-multilingual-base,28,berbagai jenis perbuatan baik,0.9125,0.7739,0.7739,-0.1386
ID,multilingual-e5-base,20,penggambaran terhadap keagungan buddha,0.5962,0.4582,0.6992,-0.138
ID,gte-multilingual-base,12,kewajiban seorang bhikkhu,1.0,0.8688,0.6992,-0.1312
