Korpus,Family,query_id,kueri,B,GPL,exp6,Δ(exp6-B)
ID,gte-multilingual-base,22,cara mengikis kotoran batin,0.866,0.8944,-0.9487,-1.8147
ID,gte-multilingual-base,1,cara mengatasi kemarahan,0.0,-0.3536,-0.4472,-0.4472
ID,gte-multilingual-base,24,apa yang terjadi pada saat pencapaian pencerahan,0.2868,-0.3536,0.1118,-0.175
ID,gte-multilingual-base,20,penggambaran terhadap keagungan buddha,0.0,-0.7826,-0.1581,-0.1581
ID,gte-multilingual-base,13,berbagai jenis pemberian,0.866,0.6325,0.866,0.0
ID,gte-multilingual-base,4,mengapa harus membalas budi orangtua,0.0,0.4472,0.0,0.0
ID,gte-multilingual-base,28,berbagai jenis perbuatan baik,0.7071,,0.7071,0.0
ID,gte-multilingual-base,23,penjelasan tentang pandangan terang,-0.6489,-0.8885,-0.3627,0.2862
ID,gte-multilingual-base,11,siapa yang layak disebut sebagai brahmana,0.0,0.0,0.2887,0.2887
ID,gte-multilingual-base,29,jenis orang yang tak boleh ditahbiskan,0.0,-0.7071,0.3536,0.3536
ID,gte-multilingual-base,9,jenis jenis kotoran batin,0.3947,0.1581,0.7906,0.3959
ID,gte-multilingual-base,27,jenis jenis karma buruk,0.4472,0.5774,0.866,0.4188
ID,gte-multilingual-base,26,bersatu di kehidupan selanjutnya,-0.7071,0.7255,0.1081,0.8152
ID,gte-multilingual-base,17,kewajiban seorang umat awam,-0.7071,0.2236,0.4472,1.1543
ID,gte-multilingual-base,8,manfaat pelaksaan sila,-0.3354,0.6882,0.8944,1.2298
