Korpus,Family,query_id,kueri,B,GPL,exp6,Δ(exp6-B)
ID,gte-multilingual-base,30,apa itu proliferasi mental,0.9377,0.9128,0.4849,-0.4528
ID,gte-multilingual-base,16,harta yang paling bernilai,0.7945,0.9026,0.354,-0.4405
ID,gte-multilingual-base,26,bersatu di kehidupan selanjutnya,0.6135,0.161,0.2626,-0.3509
ID,gte-multilingual-base,7,penjelasan tentang perhatian murni,0.8849,0.354,0.5973,-0.2876
ID,gte-multilingual-base,15,apa kualitas yang harus dimiliki oleh seorang penceramah,0.8651,0.5725,0.6105,-0.2546
ID,gte-multilingual-base,1,cara mengatasi kemarahan,0.5664,0.6667,0.3432,-0.2232
ID,gte-multilingual-base,2,cara mengatasi ngantuk,0.214,0.0,0.0,-0.214
ID,gte-multilingual-base,25,perasaan malu dan takut,0.7182,0.7591,0.5177,-0.2005
ID,gte-multilingual-base,22,cara mengikis kotoran batin,0.7365,0.9275,0.546,-0.1905
ID,gte-multilingual-base,4,mengapa harus membalas budi orangtua,0.8869,0.7557,0.7113,-0.1756
ID,gte-multilingual-base,20,penggambaran terhadap keagungan buddha,0.4847,0.2473,0.3229,-0.1618
ID,gte-multilingual-base,11,siapa yang layak disebut sebagai brahmana,0.7458,0.2826,0.6003,-0.1455
ID,gte-multilingual-base,13,berbagai jenis pemberian,1.0,0.8152,0.8638,-0.1362
ID,gte-multilingual-base,28,berbagai jenis perbuatan baik,0.8638,0.7739,0.7557,-0.1081
ID,gte-multilingual-base,19,jenis jenis kemelekatan,0.9563,1.0,0.8688,-0.0875
ID,gte-multilingual-base,5,perumpamaan perumpamaan,1.0,0.8721,0.9287,-0.0713
ID,gte-multilingual-base,18,penyebab gempa bumi,0.9563,1.0,1.0,0.0437
ID,gte-multilingual-base,12,kewajiban seorang bhikkhu,0.8611,0.8442,0.9543,0.0932
ID,gte-multilingual-base,23,penjelasan tentang pandangan terang,0.3743,0.5517,0.5003,0.126
ID,gte-multilingual-base,24,apa yang terjadi pada saat pencapaian pencerahan,0.4459,0.5059,0.6023,0.1564
ID,gte-multilingual-base,27,jenis jenis karma buruk,0.5167,0.4399,0.6796,0.1629
ID,gte-multilingual-base,29,jenis orang yang tak boleh ditahbiskan,0.1696,1.0,0.3601,0.1905
ID,gte-multilingual-base,17,kewajiban seorang umat awam,0.564,0.6349,0.8023,0.2383
ID,gte-multilingual-base,3,apa penyebab penderitaan,0.4637,0.8591,0.7827,0.319
ID,gte-multilingual-base,21,jenis jenis manusia,0.6406,0.9563,1.0,0.3594
ID,gte-multilingual-base,8,manfaat pelaksaan sila,0.149,0.4522,0.5157,0.3667
ID,gte-multilingual-base,9,jenis jenis kotoran batin,0.2894,0.5237,0.6624,0.373
