Korpus,Family,query_id,kueri,B,GPL,exp3,Δ(exp3-B)
ID,gte-multilingual-base,7,penjelasan tentang perhatian murni,0.9425,0.3822,0.107,-0.8355
ID,gte-multilingual-base,15,apa kualitas yang harus dimiliki oleh seorang penceramah,0.9409,0.758,0.3129,-0.628
ID,multilingual-e5-base,1,cara mengatasi kemarahan,0.8333,0.4535,0.3024,-0.5309
ID,multilingual-e5-base,14,apa makna kekosongan,0.9611,0.0,0.4437,-0.5174
ID,multilingual-e5-base,11,siapa yang layak disebut sebagai brahmana,0.7094,0.1448,0.2631,-0.4463
ID,multilingual-e5-base,29,jenis orang yang tak boleh ditahbiskan,0.4076,0.2419,0.0472,-0.3604
ID,multilingual-e5-base,21,jenis jenis manusia,0.8333,0.8304,0.5213,-0.312
ID,gte-multilingual-base,11,siapa yang layak disebut sebagai brahmana,0.8164,0.2261,0.5175,-0.2989
ID,multilingual-e5-base,2,cara mengatasi ngantuk,0.6893,1.0,0.4492,-0.2401
ID,multilingual-e5-base,23,penjelasan tentang pandangan terang,0.882,0.6885,0.6896,-0.1924
ID,gte-multilingual-base,5,perumpamaan perumpamaan,1.0,0.9361,0.8139,-0.1861
ID,gte-multilingual-base,20,penggambaran terhadap keagungan buddha,0.2839,0.1899,0.1052,-0.1787
ID,gte-multilingual-base,25,perasaan malu dan takut,0.8591,0.8795,0.6821,-0.177
ID,gte-multilingual-base,12,kewajiban seorang bhikkhu,0.9559,0.8787,0.7874,-0.1685
ID,gte-multilingual-base,26,bersatu di kehidupan selanjutnya,0.7741,0.5245,0.6083,-0.1658
ID,gte-multilingual-base,27,jenis jenis karma buruk,0.7094,0.4896,0.5487,-0.1607
ID,gte-multilingual-base,16,harta yang paling bernilai,0.8973,0.9026,0.7382,-0.1591
ID,multilingual-e5-base,25,perasaan malu dan takut,0.9206,0.7846,0.7938,-0.1268
ID,gte-multilingual-base,4,mengapa harus membalas budi orangtua,0.8587,0.7557,0.7409,-0.1178
ID,multilingual-e5-base,5,perumpamaan perumpamaan,0.9538,0.6588,0.837,-0.1168
ID,multilingual-e5-base,4,mengapa harus membalas budi orangtua,0.8783,0.8907,0.7689,-0.1094
ID,gte-multilingual-base,14,apa makna kekosongan,0.8136,0.6755,0.723,-0.0906
ID,multilingual-e5-base,20,penggambaran terhadap keagungan buddha,0.6206,0.3719,0.538,-0.0826
ID,gte-multilingual-base,22,cara mengikis kotoran batin,0.8003,0.8405,0.7218,-0.0785
ID,multilingual-e5-base,22,cara mengikis kotoran batin,0.648,0.6542,0.5826,-0.0654
ID,multilingual-e5-base,9,jenis jenis kotoran batin,0.5724,0.5181,0.5118,-0.0606
ID,gte-multilingual-base,24,apa yang terjadi pada saat pencapaian pencerahan,0.6479,0.6902,0.5891,-0.0588
ID,multilingual-e5-base,16,harta yang paling bernilai,0.7564,0.9563,0.7026,-0.0538
ID,gte-multilingual-base,10,kriteria kesucian,0.2616,0.1857,0.2101,-0.0515
ID,multilingual-e5-base,7,penjelasan tentang perhatian murni,0.3552,0.4609,0.3072,-0.048
ID,multilingual-e5-base,12,kewajiban seorang bhikkhu,0.8289,0.7646,0.7885,-0.0404
ID,gte-multilingual-base,30,apa itu proliferasi mental,0.9704,0.9585,0.933,-0.0374
ID,gte-multilingual-base,17,kewajiban seorang umat awam,0.6335,0.7336,0.5987,-0.0348
ID,multilingual-e5-base,28,berbagai jenis perbuatan baik,0.9319,0.763,0.9076,-0.0243
ID,gte-multilingual-base,1,cara mengatasi kemarahan,0.5982,0.691,0.5755,-0.0227
ID,multilingual-e5-base,19,jenis jenis kemelekatan,0.9781,0.8907,0.9563,-0.0218
ID,multilingual-e5-base,24,apa yang terjadi pada saat pencapaian pencerahan,0.7219,0.3495,0.7053,-0.0166
ID,multilingual-e5-base,6,apa itu kemurahan hati,0.5535,0.6242,0.5394,-0.0141
ID,multilingual-e5-base,15,apa kualitas yang harus dimiliki oleh seorang penceramah,0.7809,0.8249,0.7798,-0.0011
ID,multilingual-e5-base,30,apa itu proliferasi mental,0.9559,0.9111,0.9559,0.0
ID,multilingual-e5-base,18,penyebab gempa bumi,1.0,1.0,1.0,0.0
ID,gte-multilingual-base,6,apa itu kemurahan hati,0.4538,0.6925,0.4538,0.0
ID,gte-multilingual-base,18,penyebab gempa bumi,0.9781,1.0,1.0,0.0219
ID,gte-multilingual-base,19,jenis jenis kemelekatan,0.9781,1.0,1.0,0.0219
ID,multilingual-e5-base,17,kewajiban seorang umat awam,0.8478,0.7951,0.8699,0.0221
ID,multilingual-e5-base,8,manfaat pelaksaan sila,0.5343,0.4702,0.5774,0.0431
ID,gte-multilingual-base,29,jenis orang yang tak boleh ditahbiskan,0.1417,0.315,0.207,0.0653
ID,multilingual-e5-base,27,jenis jenis karma buruk,0.7105,0.3603,0.7805,0.07
ID,gte-multilingual-base,3,apa penyebab penderitaan,0.7104,0.8899,0.7967,0.0863
ID,multilingual-e5-base,13,berbagai jenis pemberian,0.7998,0.6517,0.8881,0.0883
ID,gte-multilingual-base,28,berbagai jenis perbuatan baik,0.8663,0.8869,0.9563,0.09
ID,multilingual-e5-base,10,kriteria kesucian,0.2162,0.1288,0.3091,0.0929
ID,gte-multilingual-base,13,berbagai jenis pemberian,0.8533,0.7758,0.9572,0.1039
ID,gte-multilingual-base,9,jenis jenis kotoran batin,0.4642,0.6917,0.6296,0.1654
ID,multilingual-e5-base,3,apa penyebab penderitaan,0.7104,0.8333,0.8987,0.1883
ID,gte-multilingual-base,21,jenis jenis manusia,0.7473,0.9781,0.9435,0.1962
ID,gte-multilingual-base,8,manfaat pelaksaan sila,0.1514,0.4522,0.4105,0.2591
ID,gte-multilingual-base,23,penjelasan tentang pandangan terang,0.3411,0.6798,0.8012,0.4601
ID,gte-multilingual-base,2,cara mengatasi ngantuk,0.214,0.0,0.7227,0.5087
ID,multilingual-e5-base,26,bersatu di kehidupan selanjutnya,0.2244,0.3917,0.7833,0.5589
