Model,Versi,Korpus,nDCG@5
gpl-multilingual-e5-base,exp5.0,ID,0.7819
gpl-multilingual-e5-base,exp5.1,ID,0.756
gpl-multilingual-e5-base,exp5.2,ID,0.756
gte-multilingual-base,exp5,ID,0.7496
gpl-multilingual-e5-base,exp5.3,ID,0.7463
gpl-gte-multilingual-base,exp5.2,ID,0.7371
gpl-gte-multilingual-base,exp5.3,ID,0.7361
multilingual-e5-base,exp5,ID,0.7295
gpl-multilingual-e5-base,exp5.4,ID,0.7224
gpl-multilingual-e5-base,exp4.3,ID,0.7097
gpl-gte-multilingual-base,exp5.1,ID,0.6985
gpl-gte-multilingual-base,exp5.0,ID,0.6944
gpl-gte-multilingual-base,exp5.4,ID,0.6906
gpl-multilingual-e5-base,exp4.2,ID,0.6686
gpl-gte-multilingual-base,exp4.3,ID,0.661
multilingual-e5-base,B,ID,0.6541
gpl-gte-multilingual-base,exp4.2,ID,0.648
gpl-gte-multilingual-base,exp3,ID,0.6381
gpl-multilingual-e5-base,exp2,ID,0.6372
gte-multilingual-base,B,ID,0.6328
gpl-gte-multilingual-base,exp4.1,ID,0.6292
gpl-multilingual-e5-base,exp1,ID,0.6282
gpl-gte-multilingual-base,exp4,ID,0.6278
gpl-multilingual-e5-base,exp3,ID,0.6277
gpl-gte-multilingual-base,GPL,ID,0.6241
gpl-gte-multilingual-base,exp1,ID,0.6153
gpl-multilingual-e5-base,exp4.1,ID,0.6135
bge-m3,B,ID,0.6132
gpl-multilingual-e5-base,exp4,ID,0.6011
gpl-gte-multilingual-base,exp2,ID,0.5997
gpl-multilingual-e5-base,GPL,ID,0.5854
BM25,B,ID,0.4946
