Korpus,Family,query_id,kueri,B,GPL,exp1,Δ(exp1-B)
ID,multilingual-e5-base,14,apa makna kekosongan,0.9111,0.0,0.1185,-0.7926
ID,gte-multilingual-base,11,siapa yang layak disebut sebagai brahmana,0.7458,0.2826,0.2183,-0.5275
ID,gte-multilingual-base,26,bersatu di kehidupan selanjutnya,0.6135,0.161,0.161,-0.4525
ID,gte-multilingual-base,7,penjelasan tentang perhatian murni,0.8849,0.354,0.4773,-0.4076
ID,multilingual-e5-base,26,bersatu di kehidupan selanjutnya,0.4054,0.0,0.0,-0.4054
ID,gte-multilingual-base,10,kriteria kesucian,0.5336,0.2178,0.1782,-0.3554
ID,gte-multilingual-base,14,apa makna kekosongan,0.7428,0.4275,0.4275,-0.3153
ID,multilingual-e5-base,5,perumpamaan perumpamaan,0.9076,0.5949,0.6003,-0.3073
ID,gte-multilingual-base,15,apa kualitas yang harus dimiliki oleh seorang penceramah,0.8651,0.5725,0.5725,-0.2926
ID,multilingual-e5-base,8,manfaat pelaksaan sila,0.5982,0.4444,0.3392,-0.259
ID,gte-multilingual-base,20,penggambaran terhadap keagungan buddha,0.4847,0.2473,0.2414,-0.2433
ID,multilingual-e5-base,1,cara mengatasi kemarahan,0.7797,0.4803,0.5586,-0.2211
ID,gte-multilingual-base,2,cara mengatasi ngantuk,0.214,0.0,0.0,-0.214
ID,multilingual-e5-base,28,berbagai jenis perbuatan baik,0.8638,0.6956,0.6597,-0.2041
ID,gte-multilingual-base,28,berbagai jenis perbuatan baik,0.8638,0.7174,0.6815,-0.1823
ID,multilingual-e5-base,23,penjelasan tentang pandangan terang,0.7454,0.6286,0.5725,-0.1729
ID,gte-multilingual-base,5,perumpamaan perumpamaan,1.0,0.8721,0.8304,-0.1696
ID,multilingual-e5-base,4,mengapa harus membalas budi orangtua,0.9026,0.8688,0.7665,-0.1361
ID,gte-multilingual-base,4,mengapa harus membalas budi orangtua,0.8869,0.7557,0.7557,-0.1312
ID,multilingual-e5-base,25,perasaan malu dan takut,0.8556,0.7261,0.7261,-0.1295
ID,multilingual-e5-base,11,siapa yang layak disebut sebagai brahmana,0.5466,0.2896,0.4208,-0.1258
ID,multilingual-e5-base,9,jenis jenis kotoran batin,0.5535,0.4173,0.4323,-0.1212
ID,gte-multilingual-base,13,berbagai jenis pemberian,1.0,0.8152,0.8869,-0.1131
ID,multilingual-e5-base,12,kewajiban seorang bhikkhu,0.8272,0.741,0.7237,-0.1035
ID,multilingual-e5-base,19,jenis jenis kemelekatan,0.9563,0.8688,0.8539,-0.1024
ID,gte-multilingual-base,12,kewajiban seorang bhikkhu,0.9073,0.8895,0.8272,-0.0801
ID,gte-multilingual-base,24,apa yang terjadi pada saat pencapaian pencerahan,0.4459,0.3191,0.3673,-0.0786
ID,gte-multilingual-base,30,apa itu proliferasi mental,0.9377,0.9128,0.8668,-0.0709
ID,multilingual-e5-base,17,kewajiban seorang umat awam,0.7261,0.8058,0.6587,-0.0674
ID,multilingual-e5-base,13,berbagai jenis pemberian,0.9026,0.6774,0.8383,-0.0643
ID,gte-multilingual-base,25,perasaan malu dan takut,0.8439,0.7833,0.7833,-0.0606
ID,multilingual-e5-base,24,apa yang terjadi pada saat pencapaian pencerahan,0.4155,0.3191,0.3673,-0.0482
ID,multilingual-e5-base,30,apa itu proliferasi mental,0.9073,0.8132,0.8613,-0.046
ID,multilingual-e5-base,10,kriteria kesucian,0.2801,0.1018,0.2427,-0.0374
ID,multilingual-e5-base,20,penggambaran terhadap keagungan buddha,0.6492,0.2704,0.6141,-0.0351
ID,multilingual-e5-base,18,penyebab gempa bumi,1.0,1.0,1.0,0.0
ID,gte-multilingual-base,27,jenis jenis karma buruk,0.5245,0.3801,0.5361,0.0116
ID,gte-multilingual-base,18,penyebab gempa bumi,0.9563,1.0,1.0,0.0437
ID,gte-multilingual-base,19,jenis jenis kemelekatan,0.9563,1.0,1.0,0.0437
ID,gte-multilingual-base,16,harta yang paling bernilai,0.7945,0.9026,0.8432,0.0487
ID,multilingual-e5-base,7,penjelasan tentang perhatian murni,0.3948,0.4464,0.4464,0.0516
ID,multilingual-e5-base,6,apa itu kemurahan hati,0.6038,0.6284,0.6632,0.0594
ID,gte-multilingual-base,9,jenis jenis kotoran batin,0.3086,0.5585,0.3692,0.0606
ID,multilingual-e5-base,15,apa kualitas yang harus dimiliki oleh seorang penceramah,0.5725,0.7454,0.6349,0.0624
ID,gte-multilingual-base,23,penjelasan tentang pandangan terang,0.4085,0.4836,0.4836,0.0751
ID,gte-multilingual-base,17,kewajiban seorang umat awam,0.6015,0.6771,0.6771,0.0756
ID,gte-multilingual-base,22,cara mengikis kotoran batin,0.7365,0.9275,0.8254,0.0889
ID,gte-multilingual-base,1,cara mengatasi kemarahan,0.5664,0.6667,0.6667,0.1003
ID,gte-multilingual-base,8,manfaat pelaksaan sila,0.149,0.4522,0.3392,0.1902
ID,gte-multilingual-base,6,apa itu kemurahan hati,0.4608,0.6547,0.6547,0.1939
ID,multilingual-e5-base,27,jenis jenis karma buruk,0.3917,0.4333,0.6141,0.2224
ID,multilingual-e5-base,22,cara mengikis kotoran batin,0.5751,0.664,0.845,0.2699
ID,multilingual-e5-base,3,apa penyebab penderitaan,0.4637,0.7346,0.7346,0.2709
ID,multilingual-e5-base,2,cara mengatasi ngantuk,0.6893,1.0,1.0,0.3107
ID,multilingual-e5-base,21,jenis jenis manusia,0.6667,0.8304,1.0,0.3333
ID,multilingual-e5-base,16,harta yang paling bernilai,0.5615,0.9125,0.9125,0.351
ID,gte-multilingual-base,21,jenis jenis manusia,0.6406,0.9563,1.0,0.3594
ID,gte-multilingual-base,3,apa penyebab penderitaan,0.4637,0.8591,0.8591,0.3954
ID,multilingual-e5-base,29,jenis orang yang tak boleh ditahbiskan,0.5296,0.8688,1.0,0.4704
ID,gte-multilingual-base,29,jenis orang yang tak boleh ditahbiskan,0.1696,1.0,1.0,0.8304
